year,cocnumber,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2015-2016,CA-611,722,37,84,24,330
2014-2015,CA-612,-360,3,-27,13,-349
2015-2017,CA-612,611,4,-16,-4,627
2017-2016,CA-612,-284,-2,7,-9,-280
2017-2015,CA-613,275,-3,-2,-16,199
2015-2016,CA-613,188,-3,28,-13,116
2016-2014,CA-613,240,31,-23,25,293
2016-2014,CA-614,-350,-70,-41,-9,-346
2014-2017,CA-614,272,46,53,-55,340
2017-2015,CA-614,-330,-13,-20,47,-290
2015-2017,CO-500,-3,129,-38,108,-221
2017-2014,CO-500,414,-214,847,-180,25
2014-2016,CO-500,-419,77,-739,117,128
2017-2014,CO-503,2329,-247,216,869,1449
2014-2015,CO-503,665,96,120,-212,685
2015-2016,CO-503,-891,4,-128,-118,-653
2014-2015,CO-504,225,21,-7,75,95
2015-2016,CO-504,-240,36,-99,-31,-110
2016-2017,CO-504,148,29,87,25,-25
2016-2015,CT-503,-201,0,-89,-17,-106
2015-2017,CT-503,299,17,98,-5,179
2017-2014,CT-503,-230,-17,-58,11,-142
2017-2015,CT-505,-976,-13,-166,-94,-694
2015-2016,CT-505,482,-6,140,21,284
2016-2014,CT-505,-788,3,-207,-70,-493
2017-2014,DC-500,-2857,-93,-1253,-454,-1816
2014-2015,DC-500,-201,32,629,226,-246
2015-2016,DC-500,3032,67,1081,78,1216
2017-2015,DE-500,-229,-19,46,-30,-311
2015-2016,DE-500,130,3,-22,99,122
2016-2014,DE-500,1125,5,102,-21,921
2016-2014,FL-500,330,-4,-45,88,291
2014-2015,FL-500,-31,8,-53,46,-32
2015-2017,FL-500,-45,16,52,-90,-23
2014-2017,FL-501,-22,40,145,131,-338
2017-2016,FL-501,104,2,-26,-81,209
2016-2015,FL-501,492,-9,-5,-41,547
2015-2017,FL-502,253,20,-8,12,229
2017-2016,FL-502,-508,17,-127,-13,-385
2016-2014,FL-502,-466,-49,-6,-35,-376
2015-2017,FL-503,-456,-121,-75,40,-300
2017-2016,FL-503,523,111,-4,6,410
2016-2014,FL-503,160,35,18,35,72
2017-2015,FL-504,69,-16,-7,35,57
2015-2016,FL-504,-253,2,-10,-37,-208
2016-2014,FL-504,99,-30,22,-62,169
2017-2015,FL-505,-124,0,-255,4,127
2015-2016,FL-505,310,16,33,24,237
2016-2014,FL-505,-244,-19,-27,-23,-183
2014-2016,FL-506,-415,-34,7,-15,-386
2016-2017,FL-506,-192,112,34,3,-284
2017-2015,FL-506,144,-48,-24,9,223
2016-2015,FL-507,1115,12,23,92,988
2015-2017,FL-507,-2439,-40,-238,7,-2181
2017-2014,FL-507,2656,0,292,-229,2606
2016-2015,FL-508,-64,-15,-8,-17,-34
2015-2014,FL-508,147,16,-16,20,133
2014-2017,FL-508,-32,-4,23,-2,-61
2016-2014,FL-509,-162,8,25,-36,-157
2014-2017,FL-509,389,5,19,81,302
2017-2015,FL-509,-313,-7,16,-74,-270
2015-2017,FL-510,723,23,-198,113,785
2017-2014,FL-510,-822,-49,250,-69,-954
2014-2016,FL-510,-109,32,-297,-48,204
2017-2015,FL-511,906,-12,61,43,814
2015-2014,FL-511,194,15,19,41,119
2014-2016,FL-511,-645,-3,-44,-40,-558
2014-2015,FL-512,15,-15,8,12,9
2015-2016,FL-512,3,9,0,6,-9
2016-2017,FL-512,72,3,0,-26,90
2015-2014,FL-513,-156,7,25,-31,-157
2014-2016,FL-513,283,29,-6,-6,266
2016-2017,FL-513,292,32,-10,40,230
2014-2015,FL-514,311,14,29,42,226
2015-2016,FL-514,-192,-9,-39,-5,-139
2016-2017,FL-514,-67,9,-29,11,-58
2015-2014,FL-515,-347,16,16,-25,-340
2014-2017,FL-515,446,23,-50,49,349
2017-2016,FL-515,-9,-36,2,8,95
2017-2014,FL-517,46,9,-74,-2,616
2014-2015,FL-517,-167,7,-13,-10,-171
2015-2016,FL-517,-30,4,18,20,-430
2016-2017,FL-518,68,-15,-13,43,89
2017-2015,FL-518,-104,27,49,-21,-195
2015-2014,FL-518,-115,-23,-58,3,-36
2015-2016,FL-519,-87,-17,-26,15,-59
2016-2017,FL-519,-115,32,-45,15,-117
2017-2014,FL-519,94,-8,54,-63,111
2015-2014,FL-520,739,-26,47,19,699
2014-2016,FL-520,-460,34,163,50,-707
2016-2017,FL-520,49,5,-115,31,128
2014-2017,FL-600,4843,238,478,223,3904
2017-2016,FL-600,-1957,-61,-313,-105,-1478
2016-2015,FL-600,-2107,-51,-67,-83,-1906
2017-2016,FL-601,-423,-44,127,-206,-292
2016-2015,FL-601,88,6,-1,39,43
2015-2014,FL-601,-55,50,-66,-15,-27
2014-2015,FL-602,-15,-2,16,21,-50
2015-2016,FL-602,-76,-1,4,-13,-66
2016-2017,FL-602,26,18,-10,19,-1
2015-2016,FL-603,40,10,-106,42,94
2016-2014,FL-603,8,11,196,-75,-124
2014-2017,FL-603,200,1,-243,147,295
2016-2014,FL-604,-2,-11,15,-3,-3
2014-2015,FL-604,74,11,6,5,52
2015-2017,FL-604,-96,11,-55,-6,-46
2014-2017,FL-605,1329,10,6,93,1230
2017-2015,FL-605,-559,-18,197,-33,-707
2015-2016,FL-605,7,10,-73,6,59
2016-2017,FL-606,94,14,-52,-28,160
2017-2014,FL-606,-55,-15,-14,14,-40
2014-2015,FL-606,-63,0,24,5,-92
2016-2014,GA-500,-369,-15,-82,-47,-225
2014-2017,GA-500,-604,20,-320,97,-401
2017-2015,GA-500,832,-18,352,-23,513
2015-2017,GA-501,2417,23,-213,470,1824
2017-2016,GA-501,-1050,40,149,-292,-511
2016-2014,GA-501,-1723,-4,-124,-669,-1444
2017-2014,GA-502,-6,0,0,0,0
2014-2016,GA-502,7,0,0,0,0
2016-2015,GA-502,-4,0,0,0,0
2017-2016,GA-503,-123,12,21,-31,-125
2016-2014,GA-503,-83,-13,-67,-25,22
2014-2015,GA-503,202,7,54,31,110
2015-2014,GA-504,27,-3,-6,-25,21
2014-2017,GA-504,73,0,47,65,1
2017-2016,GA-504,-34,8,-33,-6,-3
2016-2014,GA-505,344,3,-32,-25,398
2014-2015,GA-505,254,1,6,0,247
2015-2017,GA-505,-743,-1,20,26,-788
2016-2015,GA-506,-98,-10,4,-19,-54
2015-2014,GA-506,-176,-4,46,-271,34
2014-2017,GA-506,222,21,12,189,70
2016-2014,GA-507,190,42,33,13,102
2014-2017,GA-507,-224,-31,-15,-49,-129
2017-2015,GA-507,-5,1,-27,41,-20
2014-2015,GA-508,176,27,1,78,70
2015-2017,GA-508,-156,-19,-53,22,-108
2017-2016,GA-508,-256,5,20,-46,-237
2016-2017,HI-501,-832,-132,-404,11,-314
2017-2015,HI-501,568,-11,178,-2,410
2015-2014,HI-501,-892,11,-117,18,-804
2017-2014,IA-500,-119,-17,-82,28,-45
2014-2015,IA-500,65,9,10,25,30
2015-2016,IA-500,56,-9,46,-49,23
2015-2016,IA-501,-160,-23,-15,-101,-90
2016-2014,IA-501,-155,3,-4,73,-131
2014-2017,IA-501,114,14,47,-88,132
2017-2014,IA-502,-128,1,24,-32,-224
2014-2016,IA-502,78,2,-26,24,148
2016-2015,IA-502,-19,9,-6,31,-31
2015-2016,ID-500,-216,-35,-23,11,-170
2016-2014,ID-500,93,-23,-6,-31,131
2014-2017,ID-500,84,24,8,25,47
2016-2014,ID-501,-1054,7,-83,-80,-830
2014-2017,ID-501,1270,28,39,76,1092
2017-2015,ID-501,-700,-69,14,-134,-694
2014-2016,IL-500,-61,4,21,1,-76
2016-2017,IL-500,157,2,-9,27,182
2017-2015,IL-500,8,3,-6,-7,22
2014-2016,IL-501,215,13,43,0,158
2016-2015,IL-501,-124,-6,-17,35,-158
2015-2017,IL-501,292,-9,-11,-28,315
2015-2016,IL-502,-8,13,28,-37,-82
2016-2017,IL-502,93,2,25,69,69
2017-2014,IL-502,-300,-14,-57,-50,-202
2016-2015,IL-503,-61,-3,-48,22,-16
2015-2014,IL-503,148,56,30,-41,-93
2014-2017,IL-503,18,-24,27,22,197
2016-2014,IL-504,426,2,16,35,738
2014-2015,IL-504,-237,-2,126,-18,-330
2015-2017,IL-504,-391,-3,-184,2,-410
2016-2015,IL-506,-199,16,-102,-1,-173
2015-2014,IL-506,35,-11,-15,-14,44
2014-2017,IL-506,51,-5,-55,-41,81
2015-2016,IL-507,-210,-19,-149,-38,-4
2016-2014,IL-507,755,-2,396,146,177
2014-2017,IL-507,-609,0,-377,-142,43
2017-2015,IL-508,100,-3,20,7,32
2015-2016,IL-508,91,16,21,24,61
2016-2014,IL-508,-240,-23,-22,-17,-138
2017-2015,IL-509,39,-3,-65,-6,-63
2015-2014,IL-509,-18,3,84,4,41
2014-2016,IL-509,-59,-3,-24,-4,-1
2016-2015,IL-510,1382,-102,174,4,1448
2015-2017,IL-510,-2007,-51,-60,548,-2445
2017-2014,IL-510,3714,71,-19,-531,3914
2016-2014,IL-511,-139,16,-33,53,-265
2014-2015,IL-511,374,-1,-22,-38,332
2015-2017,IL-511,27,-15,221,50,-5
2015-2014,IL-512,-86,-5,-2,-43,83
2014-2017,IL-512,209,10,-18,15,103
2017-2016,IL-512,-105,-7,-16,9,59
2015-2016,IL-513,-127,1,-23,1,-112
2016-2014,IL-513,234,4,29,14,233
2014-2017,IL-513,-204,-9,20,-56,-223
2014-2016,IL-514,129,-21,10,65,86
2016-2017,IL-514,21,-6,18,-47,106
2017-2015,IL-514,-151,5,-16,-35,-205
2014-2015,IL-515,-55,0,45,-8,335
2015-2016,IL-515,269,0,34,8,87
2016-2017,IL-515,243,0,30,12,-109
2015-2017,IL-516,105,0,21,0,94
2017-2014,IL-516,5,6,-1,7,-3
2014-2016,IL-516,122,-2,8,7,81
2017-2016,IL-517,-285,5,2,18,-295
2016-2014,IL-517,-30,1,-16,-40,-54
2014-2015,IL-517,43,-5,1,61,33
2016-2014,IL-518,90,7,36,20,61
2014-2017,IL-518,-101,-2,-103,-9,12
2017-2015,IL-518,41,3,50,-7,-99
2016-2015,IL-519,176,3,44,12,10
2015-2017,IL-519,-168,-3,-40,32,5
2017-2014,IL-519,158,0,40,-41,170
2014-2016,IL-520,-89,-18,-72,7,-148
2016-2017,IL-520,341,27,-121,-27,219
2017-2015,IL-520,-508,-12,85,-15,-131
2014-2016,IN-500,93,0,42,-8,-10
2016-2015,IN-500,-67,0,-50,9,47
2015-2017,IN-500,225,0,74,-2,136
2014-2016,IN-502,27,-44,316,-32,-296
2016-2017,IN-502,276,35,279,-137,-234
2017-2015,IN-502,24,48,-220,33,289
2016-2014,IN-503,208,-43,31,-29,259
2014-2017,IN-503,-34,-73,-1,39,-92
2017-2015,IN-503,849,160,104,20,441
2015-2016,KS-502,380,13,-30,52,316
2016-2014,KS-502,-153,-19,-34,-32,-100
2014-2017,KS-502,-292,12,131,-39,-369
2015-2014,KS-503,70,3,32,25,28
2014-2017,KS-503,7,-3,-14,-20,36
2017-2016,KS-503,118,3,30,24,77
2015-2014,KS-505,145,5,6,1,50
2014-2017,KS-505,-151,-11,-14,3,-58
2017-2016,KS-505,-8,6,-15,5,24
2016-2017,KS-507,-159,48,154,-61,-245
2017-2014,KS-507,213,-51,-110,-21,337
2014-2015,KS-507,-23,-10,24,-15,14
2015-2017,KY-500,-677,369,-414,73,308
2017-2014,KY-500,397,-385,1658,-8,-1962
2014-2016,KY-500,102,528,-1422,62,2067
2016-2015,KY-501,450,-74,-215,37,631
2015-2014,KY-501,1612,-33,1006,-16,81
2014-2017,KY-501,-2321,1680,-1969,-119,-1268
2014-2016,KY-502,288,21,37,55,210
2016-2017,KY-502,-51,-4,-27,-10,-10
2017-2015,KY-502,-181,-10,24,-15,-213
2014-2016,LA-500,-525,2,-58,44,-216
2016-2017,LA-500,358,45,59,143,169
2017-2015,LA-500,-41,-54,3,-128,-157
2014-2017,LA-502,-284,27,-25,-34,-42
2017-2015,LA-502,208,-67,-95,28,214
2015-2016,LA-502,-161,31,86,-1,-175
2014-2015,LA-503,361,59,35,23,330
2015-2016,LA-503,-370,-124,79,-16,-865
2016-2017,LA-503,395,-88,40,32,713
2014-2017,LA-504,4703,157,872,257,3309
