coc_number,coc_name,year,ard_ard,ard_pprn
CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, SierraCounties",2018,317347,1030153
CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2019,323603,1020786
CA-517,Napa City & County,2012,537185,537185
CA-517,Napa City & County,2013,528569,
CA-517,Napa City & County,2014,575797,310099
CA-517,Napa City & County,2015,602121,300586
CA-517,Napa City & County,2016,694644,323473
CA-517,Napa City & County,2017,694644,326375
CA-517,Napa City & County,2018,725047,350635
CA-517,Napa City & County,2019,718075,337498
CA-518,"Vallejo,Solano County",2012,1178921,1178921
CA-518,"Vallejo,Solano County",2013,1136509,
CA-518,"Vallejo,Solano County",2014,977305,695018
CA-518,"Vallejo,Solano County",2015,1053051,708375
CA-518,"Vallejo,Solano County",2016,1221094,766396
CA-518,"Vallejo,Solano County",2017,1231882,792758
CA-518,"Vallejo,Solano County",2018,1288930,847176
CA-518,"Vallejo,Solano County",2019,1425556,866795
CA-519,"Chico,Paradise,Butte County",2012,629520,629520
CA-519,"Chico,Paradise,Butte County",2013,579894,
CA-519,"Chico,Paradise,Butte County",2014,570491,503346
CA-519,"Chico, Paradise,Butte County",2015,578630,524500
CA-519,"Chico, Paradise,Butte County",2016,517735,563171
CA-519,"Chico, Paradise,Butte County",2017,528301,570171
CA-519,"Chico, Paradise,Butte County",2018,570871,604014
CA-519,"Chico,Paradise,Butte County",2019,578796,617687
CA-520,Merced City & County,2012,477392,707922
CA-520,Merced City & County,2013,542731,
CA-520,Merced City & County,2014,579194,771794
CA-520,Merced City & County,2015,657612,792110
CA-520,Merced City & County,2016,712271,859263
CA-520,Merced City & County,2017,712271,884430
CA-520,Merced City & County,2018,712751,943466
CA-520,Merced City & County,2019,721588,964641
CA-521,"Davis,Woodland,Yolo County",2012,471183,471183
CA-521,"Davis,Woodland,Yolo County",2013,523214,
CA-521,"Davis,Woodland,Yolo County",2014,453504,455704
CA-521,"Davis, Woodland,Yolo County",2015,525070,466004
CA-521,"Davis, Woodland,Yolo County",2016,458394,481693
CA-521,"Davis, Woodland,Yolo County",2017,473409,491224
CA-521,"Davis, Woodland,Yolo County",2018,476153,524011
CA-521,"Davis,Woodland,Yolo County",2019,481697,536085
CA-522,Humboldt County,2012,731338,731338
CA-522,Humboldt County,2013,876308,
CA-522,Humboldt County,2014,843780,493320
CA-522,Humboldt County,2015,724199,495010
CA-522,Humboldt County,2016,798171,541466
CA-522,Humboldt County,2017,798988,579199
CA-522,Humboldt County,2018,834362,646401
CA-522,Humboldt County,2019,836284,658532
CA-523,"Colusa, Glen, Lake, Tehama, Trinity Counties",2012,143968,700429
CA-523,"Colusa, Glenn, Trinity Counties",2015,0,212707
CA-523,"Colusa, Glenn, Trinity Counties",2016,0,213182
CA-523,"Colusa, Glenn, Trinity Counties",2017,0,215630
CA-523,"Colusa, Glenn, Trinity Counties",2018,0,229604
CA-523,"Colusa, Glenn, Trinity Counties",2019,0,222960
CA-524,"Yuba City, Marysville",2012,0,0
CA-524,"ba City and County,Sutter County",2014,0,199811
CA-524,"Yuba City,Sutter County",2015,0,437815
CA-524,"Yuba City & County,Sutter County",2016,0,471714
CA-524,"Yuba City & County,Sutter County",2017,0,488620
CA-524,"Yuba City & County,Sutter County",2018,0,515155
CA-524,"Yuba City and County,Sutter County",2019,0,518255
CA-525,El Dorado County,2012,13593,248668
CA-525,El Dorado County,2013,13339,
CA-525,El Dorado County,2014,12672,288228
CA-525,El Dorado County,2015,12419,295925
CA-525,El Dorado County,2016,10556,302760
CA-525,El Dorado County,2017,9817,310993
CA-525,El Dorado County,2018,9817,340680
CA-525,El Dorado County,2019,9817,344537
CA-526,"Tuolumne, Calaveras, Amador Counties",2012,133082,288378
CA-526,"Tuolumne, Calaveras, Amador Counties",2013,318208,
CA-526,"Tuolumne, Calaveras, Amador Counties",2014,317411,335183
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties",2015,310199,393786
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties",2016,301090,429724
CA-526,"Tuolumne, Amador, Calaveras,Mariposa Counties",2017,302026,440306
CA-526,"Amador, Calaveras, Mariposa,Tuolumne Counties",2018,424790,469220
CA-526,"Tuolumne, Calaveras, Amador Counties",2019,406899,467065
CA-527,Tehama County,2015,0,187647
CA-527,Tehama County,2016,0,183684
CA-527,Tehama County,2017,0,184121
CA-527,Tehama County,2018,0,196732
