cocnumber,of_leas_in_coc,total_hcy_count,hotels_motels,unsheltered,sheltered,doubled_up,cdw,lep,uhy
MI-514,14,804,41,,215,486,175,,164
MI-515,12,763,52,7,144,529,186,10,156
MI-516,17,960,43,,100,730,191,10,143
MI-517,16,996,28,6,99,669,203,3,159
MI-518,9,403,31,,65,248,86,7,93
MI-519,15,961,51,4,233,631,201,106,124
MI-523,12,720,11,5,205,414,179,9,125
MN-500,52,6034,442,62,1986,3369,1327,669,499
MN-501,29,2852,165,145,624,1846,668,249,412
MN-502,65,1732,77,42,357,1153,408,225,279
MN-503,40,3159,232,79,435,2191,893,241,572
MN-504,13,233,19,,10,168,60,,19
MN-505,57,1623,124,30,317,1068,461,68,168
MN-506,27,805,11,21,213,552,95,9,25
MN-508,24,408,29,7,85,264,107,4,40
MN-509,16,628,15,10,262,337,157,5,70
MN-511,41,254,21,,66,150,59,27,23
MO-500,23,3312,266,17,205,2739,672,28,381
MO-501,13,6079,212,33,684,5074,1063,99,240
MO-503,11,1324,110,9,109,1045,312,26,238
MO-600,15,2600,208,17,228,1949,436,58,155
MO-602,10,1161,42,26,51,853,214,159,127
MO-603,5,535,,,139,319,103,47,4
MO-604,34,5773,332,107,852,4299,852,511,1203
MO-606,250,11784,746,232,449,9387,2227,321,1317
MS-500,3,402,15,7,36,344,56,,
MS-501,58,2850,20,6,49,2526,455,54,108
MS-503,8,2262,100,52,303,1798,359,45,49
MT-500,118,3633,360,293,306,2483,779,260,655
NC-500,2,665,95,18,194,358,81,19,51
NC-501,3,786,78,26,60,622,147,51,151
NC-502,8,968,165,23,91,661,150,92,74
NC-503,99,12231,1442,859,897,8436,1877,670,1388
NC-504,5,2960,208,25,109,2615,403,233,64
NC-505,10,4183,793,35,471,2864,475,138,222
NC-506,4,1195,141,15,134,888,196,48,167
NC-507,5,3387,700,15,333,2327,738,246,43
NC-509,4,1036,173,8,106,749,164,14,171
NC-511,1,786,262,41,83,400,125,18,162
NC-513,2,195,10,3,13,169,27,11,39
NC-516,7,532,12,21,69,388,105,44,23
ND-500,48,2416,148,181,277,1615,472,165,254
NE-500,56,1932,112,100,196,1409,330,700,176
NE-501,10,1656,107,28,594,908,427,159,56
NE-502,1,329,52,7,168,102,101,26,36
NH-500,106,2241,143,28,272,1406,624,22,99
NH-501,3,796,39,11,121,625,168,91,124
NH-502,17,569,90,54,88,306,164,49,81
NJ-500,19,580,154,,43,367,128,16,
NJ-501,38,491,8,,68,253,89,89,
NJ-502,32,923,66,,129,661,227,27,
NJ-503,83,2681,150,5,98,2038,633,181,
NJ-504,17,1017,28,12,456,505,237,39,
NJ-506,9,500,7,,175,213,105,36,
NJ-507,22,1165,135,,79,892,211,188,
NJ-508,32,495,96,,42,287,149,34,
NJ-509,21,191,15,,41,85,36,22,
NJ-510,20,655,109,7,82,405,197,8,
NJ-511,16,660,9,,115,476,119,93,
NJ-512,3,26,,,,20,,,
NJ-513,10,117,26,,16,63,27,4,
NJ-514,10,156,,,59,46,46,4,
NJ-515,18,510,22,,97,332,99,48,
NJ-516,34,240,9,,10,121,44,12,
NM-500,16,4547,257,941,648,2609,1123,1021,1005
NM-501,70,7023,224,127,469,5544,1303,1513,493
NV-500,1,10879,1698,172,1352,7657,1566,1467,720
NV-501,1,3251,470,565,595,1621,637,468,491
NV-502,15,2635,182,85,260,2069,447,229,239
NY-500,30,3553,70,85,610,2716,773,444,224
NY-501,5,135,14,,12,99,36,5,
NY-503,18,1011,246,8,221,484,231,42,43
NY-504,10,150,,,23,102,43,,12
NY-505,34,4225,160,37,612,3259,1091,188,176
NY-507,7,351,76,,53,190,81,24,7
NY-508,65,3081,97,7,457,2278,776,384,195
NY-510,7,211,3,,35,150,71,6,3
NY-511,43,1071,59,4,264,580,276,3,149
NY-512,9,687,66,,132,463,167,17,15
NY-513,24,865,81,,39,595,205,33,13
NY-514,15,260,4,,44,174,56,31,9
NY-516,7,229,27,,22,146,79,,5
NY-518,21,491,5,3,41,381,108,36,13
NY-519,12,341,56,37,19,192,83,14,132
NY-520,12,184,,,4,166,45,,
NY-522,29,936,3,,18,603,234,13,62
NY-523,30,1057,84,9,46,779,303,7,59
NY-600,243,138869,249,6543,52761,77829,35260,31016,6837
NY-601,11,671,74,,246,329,198,33,10
NY-602,13,1788,198,9,232,1294,455,208,124
NY-603,111,10287,532,18,2103,7254,2035,2476,2761
NY-604,35,2706,14,,302,1792,602,424,5
NY-606,8,738,30,,104,578,154,275,64
NY-607,6,326,47,,43,214,79,44,
NY-608,10,661,161,5,141,314,241,23,81
OH-500,38,2111,130,13,484,1297,459,43,86
OH-501,27,4094,32,6,260,3636,837,51,9
OH-502,66,3790,52,32,399,3080,751,101,316
OH-503,58,4687,406,28,1109,3001,894,183,477
OH-504,15,172,7,,6,81,33,,
OH-505,31,1256,34,3,216,881,188,84,19
OH-506,24,1621,41,168,312,1030,303,63,226
OH-507,413,12164,518,102,1121,8605,2429,241,900
OH-508,18,823,13,3,264,488,135,13,28
OK-500,53,1295,26,250,141,865,211,65,28
OK-501,29,3169,104,26,572,2444,577,288,446
OK-502,17,9170,95,141,243,8675,1560,1905,305
OK-503,110,3646,66,56,92,3325,803,204,55
OK-504,6,251,19,5,18,202,55,8,59
OK-505,82,2424,3,108,58,1617,403,99,96
OK-506,85,3102,61,95,203,2588,617,195,178
OK-507,152,3887,25,415,227,2717,805,158,551
OR-500,16,2645,123,284,184,2020,607,136,616
OR-501,7,4931,225,196,527,3947,884,914,478
OR-502,8,2549,123,261,139,2026,504,228,376
OR-503,7,1226,104,195,77,821,227,144,186
OR-505,105,9259,349,1156,884,6495,1794,856,1115
OR-506,7,2463,113,142,194,1996,516,704,480
OR-507,11,1790,70,288,55,1356,359,267,252
PA-500,72,3774,21,14,1720,1839,573,433,180
PA-501,15,899,49,3,115,702,217,64,252
PA-502,17,715,37,8,187,417,227,9,83
PA-503,13,392,50,,96,233,110,57,29
PA-504,23,905,65,7,142,570,306,16,90
PA-505,20,740,33,9,71,423,170,257,134
PA-506,20,1192,58,10,232,822,322,349,275
PA-508,10,133,4,6,20,69,16,42,5
PA-509,180,5445,558,48,915,3304,1467,334,868
PA-510,16,866,88,6,63,653,262,56,227
PA-511,17,784,62,,193,427,288,22,110
PA-512,19,1150,85,,149,752,304,140,159
PA-600,59,2806,40,6,603,1915,787,31,252
PA-601,131,2817,79,27,272,1862,849,6,632
PA-603,15,415,39,4,30,316,101,,87
PA-605,18,697,16,8,155,324,191,12,159
PR-502,1,4736,,281,1464,2991,1980,50,
RI-500,37,1238,39,9,293,792,323,123,24
SC-500,7,1248,269,70,102,777,244,98,108
SC-501,24,4586,421,764,383,2886,978,243,347
SC-502,23,3166,515,217,327,1981,614,74,458
SC-503,14,1469,186,6,141,1028,269,24,13
SD-500,71,3003,344,51,521,1833,561,89,105
TN-500,15,1212,70,25,113,931,172,33,18
TN-501,7,930,178,15,124,611,90,23,35
TN-502,1,523,111,5,123,278,106,4,115
TN-503,21,1995,237,39,78,1587,342,106,142
TN-504,2,3573,404,30,328,2794,550,171,139
TN-506,18,2378,128,77,141,1907,401,151,54
TN-507,34,1242,83,18,59,863,176,16,77
TN-509,13,1863,116,53,83,1510,417,59,154
TN-510,2,1551,275,26,162,1082,237,203,253
TN-512,18,1910,310,45,162,1315,325,159,13
TX-500,37,9321,824,1074,1174,6049,1196,728,1335
TX-503,23,4841,296,60,1599,2831,621,1875,473
TX-600,64,12319,1690,781,1585,7952,1388,2543,1238
TX-601,36,8039,1116,223,881,5710,969,899,1169
TX-603,14,3491,101,156,665,2520,446,1261,432
TX-604,52,2254,103,45,142,1819,221,179,337
TX-607,812,46929,1814,1944,3113,36061,5724,6365,7823
TX-611,1,2236,53,52,184,1947,327,267,318
TX-624,50,1349,23,,117,937,176,60,174
TX-700,56,19304,1327,493,1709,15534,1904,4337,2129
TX-701,27,1351,47,18,71,1118,147,118,191
Unclaimed,63,8781,169,370,396,7479,1305,271,368
UT-500,18,6953,194,128,694,5937,1255,1317,1128
UT-503,31,6282,198,520,281,5251,1281,1178,831
UT-504,6,2099,34,62,13,1954,549,392,134
VA-500,8,3236,566,48,190,2423,709,101,345
VA-501,6,1271,327,45,139,760,216,26,115
VA-502,6,600,85,,117,386,120,32,46
VA-503,1,886,332,16,86,452,181,9,91
VA-504,6,520,59,18,44,394,99,85,44
VA-505,4,1312,324,8,63,917,234,48,41
VA-507,1,266,96,,,127,33,,13
VA-508,5,465,25,5,59,331,77,11,37
VA-513,8,830,137,,71,601,149,101,119
VA-514,5,1325,397,20,84,824,260,81,198
VA-521,65,3331,321,11,285,2538,590,187,231
VA-600,2,214,10,,123,71,56,80,23
VA-601,1,3257,134,6,467,2650,473,1958,1087
VA-602,1,2286,56,,74,2156,267,1333,388
VA-603,1,142,13,,55,74,38,31,9
VA-604,2,159,4,,31,105,33,41,10
VT-500,47,856,147,53,87,474,18,7,34
VT-501,9,222,33,4,59,112,39,18,3
WA-500,22,9251,593,352,2321,5966,1920,2081,1111
