Year,State,coc_number,spm0_coc_award_amount,HMIS Count,SPM4 Stayers,SPM4 Leavers,SPM5,SPM7,coc_category,total_returns,0_to_6_month_returns,6_to_12_month_returns,12_to_24_month_returns,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017,FL,FL-519,839421.0,253.0,36.0,23.0,0.0,0.0,Suburban CoCs,0,0,0,0,-115.0,32.0,-45.0,15.0,-117.0
2017,FL,FL-520,370361.0,832.0,27.0,14.0,565.0,65.0,Suburban CoCs,544,41,10,16,49.0,5.0,-115.0,31.0,128.0
2017,FL,FL-600,29811201.0,8114.0,1070.0,177.0,4512.0,4183.0,Major Cities,4192,626,236,267,1957.0,61.0,313.0,105.0,1478.0
2017,FL,FL-601,9505090.0,4789.0,244.0,204.0,3221.0,2595.0,Suburban CoCs,2123,323,136,168,423.0,44.0,-127.0,206.0,292.0
2017,FL,FL-602,199572.0,497.0,0.0,18.0,363.0,32.0,Suburban CoCs,733,44,20,25,26.0,18.0,-10.0,19.0,-1.0
2017,FL,FL-603,1667288.0,1418.0,93.0,124.0,864.0,75.0,Suburban CoCs,430,63,41,30,208.0,12.0,-47.0,72.0,171.0
2017,FL,FL-604,479542.0,1241.0,127.0,230.0,698.0,79.0,Rural CoCs,405,55,33,11,-24.0,11.0,-34.0,-4.0,3.0
2017,FL,FL-605,5203892.0,1816.0,216.0,127.0,1184.0,104.0,Suburban CoCs,1972,159,82,115,552.0,8.0,-124.0,27.0,648.0
2017,FL,FL-606,286151.0,172.0,6.0,1.0,16.0,1.0,Suburban CoCs,84,7,1,1,94.0,14.0,-52.0,-28.0,160.0
2017,GA,GA-500,7041634.0,9359.0,380.0,242.0,5759.0,308.0,Major Cities,3652,344,202,211,-973.0,5.0,-402.0,50.0,-626.0
2017,GA,GA-501,17416695.0,4571.0,1082.0,602.0,3549.0,114.0,Rural CoCs,3651,186,128,136,1050.0,-40.0,-149.0,292.0,511.0
2017,GA,GA-502,2495096.0,644.0,68.0,68.0,400.0,2.0,Suburban CoCs,879,21,10,19,-1.0,0.0,0.0,0.0,0.0
2017,GA,GA-503,709605.0,344.0,60.0,23.0,248.0,0.0,Other Urban CoCs,290,23,16,14,123.0,-12.0,-21.0,31.0,125.0
2017,GA,GA-504,607258.0,1388.0,22.0,74.0,996.0,0.0,Other Urban CoCs,344,33,11,9,34.0,-8.0,33.0,6.0,3.0
2017,GA,GA-505,1360522.0,504.0,111.0,133.0,357.0,2.0,Other Urban CoCs,223,19,9,8,-145.0,3.0,-6.0,1.0,-143.0
2017,GA,GA-506,2123692.0,1224.0,65.0,159.0,947.0,36.0,Suburban CoCs,836,41,19,27,-52.0,7.0,62.0,-101.0,50.0
2017,GA,GA-507,3168106.0,1693.0,227.0,172.0,1153.0,22.0,Other Urban CoCs,506,76,27,32,-34.0,11.0,18.0,-36.0,-27.0
2017,GA,GA-508,4866729.0,451.0,766.0,253.0,290.0,89.0,Suburban CoCs,452,7,13,29,256.0,-5.0,-20.0,46.0,237.0
2017,HI,HI-501,9080553.0,5938.0,547.0,588.0,2761.0,135.0,Suburban CoCs,2946,308,166,152,-832.0,-132.0,-404.0,11.0,-314.0
2017,IA,IA-500,722532.0,401.0,4.0,92.0,322.0,0.0,Other Urban CoCs,169,1,7,0,-2.0,17.0,26.0,-4.0,-8.0
2017,IA,IA-501,4745983.0,5728.0,83.0,271.0,3808.0,13.0,Rural CoCs,2693,186,140,167,-41.0,17.0,43.0,-15.0,1.0
2017,IA,IA-502,3315621.0,3868.0,154.0,202.0,2481.0,32.0,Other Urban CoCs,1438,159,79,120,50.0,-3.0,2.0,8.0,76.0
2017,ID,ID-500,889887.0,1146.0,68.0,23.0,775.0,10.0,Other Urban CoCs,429,16,11,7,177.0,1.0,2.0,-6.0,178.0
2017,ID,ID-501,2720641.0,1959.0,108.0,212.0,1343.0,1.0,Rural CoCs,1613,103,69,74,216.0,35.0,-44.0,-4.0,262.0
