coc_number,year,giw_hmis_leasing_budget,giw_hmis_rental_assistance_budget,giw_hmis_supportive_services_budget,giw_hmis_operating_budget,giw_hmis_hmis_budget,giw_hmis_administration_budget,giw_hmis_annual_renewal_amount,giw_joint_th_ph_rrh_leasing_budget,giw_joint_th_ph_rrh_rental_assistance_budget,giw_joint_th_ph_rrh_supportive_services_budget,giw_joint_th_ph_rrh_operating_budget,giw_joint_th_ph_rrh_hmis_budget,giw_joint_th_ph_rrh_administration_budget,giw_joint_th_ph_rrh_annual_renewal_amount,giw_ph_leasing_budget,giw_ph_rental_assistance_budget,giw_ph_supportive_services_budget,giw_ph_operating_budget,giw_ph_hmis_budget,giw_ph_administration_budget,giw_ph_annual_renewal_amount,giw_sh_leasing_budget,giw_sh_rental_assistance_budget,giw_sh_supportive_services_budget,giw_sh_operating_budget,giw_sh_hmis_budget,giw_sh_administration_budget,giw_sh_annual_renewal_amount,giw_sso_leasing_budget,giw_sso_rental_assistance_budget,giw_sso_supportive_services_budget,giw_sso_operating_budget,giw_sso_hmis_budget,giw_sso_administration_budget,giw_sso_annual_renewal_amount,giw_sso_non_ce_leasing_budget,giw_sso_non_ce_rental_assistance_budget,giw_sso_non_ce_supportive_services_budget,giw_sso_non_ce_operating_budget,giw_sso_non_ce_hmis_budget,giw_sso_non_ce_administration_budget,giw_sso_non_ce_annual_renewal_amount,giw_th_leasing_budget,giw_th_rental_assistance_budget,giw_th_supportive_services_budget,giw_th_operating_budget,giw_th_hmis_budget,giw_th_administration_budget,giw_th_annual_renewal_amount
NC-503,2019,false,false,false,false,485327,33972,519299,0,0,0,0,0,0,0,299478,5993316,862134,39770,10799,435614,7641111,0,false,0,0,0,0,0,0,false,399767,0,0,24000,423767,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-504,2019,false,false,false,false,63446,6275,69721,0,83040,40600,0,0,0,123640,0,1402956,307337,11418,400,62785,1784896,0,false,0,0,0,0,0,0,false,136164,0,0,13500,149664,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-505,2019,false,false,false,false,155000,8000,163000,0,0,0,0,0,0,0,405689,2686020,534355,28182,0,73044,3727290,0,false,0,0,0,0,0,0,false,63000,0,0,0,63000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-506,2019,false,false,false,false,0,0,0,0,23832,31910,16615,0,0,72357,114832,181584,106152,9302,0,12155,424025,0,false,48126,12704,0,3320,64150,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,20000,86511,0,5605,112116
NC-507,2019,false,false,false,false,71666,5016,76682,0,0,0,0,0,0,0,0,2248188,704258,81230,0,156391,3190067,0,false,0,0,0,0,0,0,false,68066,0,0,0,68066,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-509,2019,false,false,false,false,82149,0,82149,0,0,0,0,0,0,0,119582,487404,33090,7663,0,47647,695386,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-511,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,42379,89424,137377,64675,0,15596,349451,0,false,0,0,0,0,0,0,false,50468,0,0,5000,55468,false,false,0,false,false,0,0,0,0,80129,204005,0,13951,298085
NC-513,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,476328,176236,0,0,27721,680285,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NC-516,2019,false,false,false,false,0,0,0,0,45912,24225,15700,0,2859,88696,92858,0,80863,29991,0,4137,207849,0,false,0,0,0,0,0,0,false,13375,0,0,900,14275,false,false,0,false,false,0,0,0,0,27813,0,0,0,27813
ND-500,2019,false,false,false,false,70579,3493,74072,96300,7944,111502,7200,0,18916,241862,61228,751332,264840,60952,0,40159,1178511,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,37020,0,200408,74640,0,17432,329500
NE-500,2019,false,false,false,false,162436,11370,173806,0,0,0,0,0,0,0,410787,428508,360502,43725,0,68222,1311744,0,false,0,0,0,0,0,0,false,66946,0,0,4686,71632,false,false,0,false,false,0,0,179585,0,153966,52101,0,22592,408244
NE-501,2019,false,false,false,false,167727,11933,179660,0,0,0,0,0,0,0,369554,2025684,1186926,398990,90203,246405,4317762,0,false,0,0,0,0,0,0,false,58975,0,0,0,58975,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NE-502,2019,false,false,false,false,86952,6087,93039,0,0,0,0,0,0,0,82230,1131888,359658,9450,0,113875,1697101,0,false,0,0,0,0,0,0,false,32517,0,0,2276,34793,false,false,0,false,false,0,0,106320,0,298892,36474,0,38325,480011
NH-500,2019,false,false,false,false,74097,3899,77996,0,0,0,0,0,0,0,167799,2085048,576788,505953,0,186786,3522374,0,false,0,0,0,0,0,7200,false,326636,0,0,17567,351403,false,false,0,false,false,0,0,0,0,49940,73120,0,6475,129535
NH-501,2019,false,false,false,false,50322,3261,53583,0,0,0,0,0,0,0,250542,182052,399133,237876,0,65105,1134708,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,58800,0,232017,2250,0,18080,311147
NH-502,2019,false,false,false,false,12170,608,12778,0,0,0,0,0,0,0,910177,46860,771596,57769,0,83056,1869458,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-500,2019,false,false,false,false,17000,0,17000,0,0,0,0,0,0,0,0,355380,13477,29277,0,13901,412035,0,false,0,0,0,0,0,0,false,86792,0,0,6264,93056,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-501,2019,false,false,false,false,82893,0,82893,0,0,0,0,0,0,0,1217030,2186364,841294,375209,0,249773,4869670,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,16140,0,170853,21618,0,6735,215346
NJ-502,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,417422,81144,0,0,0,5657,504223,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-503,2019,false,false,false,false,50192,0,50192,0,0,0,0,0,0,0,1271019,1340904,317756,270873,0,110050,3310602,0,false,0,0,0,0,0,0,false,184813,0,0,12487,197300,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-504,2019,false,false,false,false,235666,0,235666,0,0,0,0,0,0,0,628182,3421068,614591,496156,0,268277,5428274,0,false,0,0,0,0,0,0,false,56000,0,0,5000,61000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-506,2019,false,false,false,false,69000,0,69000,0,203580,120234,85650,0,27632,437096,299696,3895284,1032458,142124,0,276254,5645816,0,false,0,0,0,0,0,0,false,762857,0,0,52890,815747,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-507,2019,false,false,false,false,90374,4307,94681,0,0,0,0,0,0,0,698754,1582116,215693,128263,0,166048,2790874,0,false,0,0,0,0,0,0,false,121758,0,0,5723,127481,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-508,2019,false,false,false,false,81727,0,81727,0,87660,0,27238,0,0,114898,1371611,1526508,116279,34701,0,125933,3175032,0,false,0,0,0,0,0,0,false,133285,0,0,9310,142595,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-509,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,133915,883200,185421,0,0,57400,1259936,0,false,105300,54450,0,11183,170933,0,false,150423,0,0,5089,155512,false,false,0,false,false,0,0,0,0,183262,103668,1688,12566,301184
NJ-510,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,168918,264300,14418,5802,0,23950,477388,0,false,0,0,0,0,0,0,false,87453,0,0,7334,94787,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-511,2019,false,false,false,false,47667,0,47667,0,0,0,0,0,0,0,162378,3821856,48600,6081,0,247188,4286103,0,false,0,0,0,0,0,0,false,90977,0,0,9023,100000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-512,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,78250,0,35369,11760,2000,0,127379
NJ-513,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,120780,159929,85033,0,19966,385708,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-514,2019,false,false,false,false,19970,0,19970,89028,185736,173384,6195,12500,40554,507397,894331,2210220,206872,4806,3550,268944,3588723,0,false,0,0,0,0,0,0,false,91000,0,0,9000,100000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-515,2019,false,false,false,false,0,0,0,0,99240,65000,100000,0,17551,281791,580139,2280696,389437,333638,74867,230155,3888932,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NJ-516,2019,false,false,false,false,7457,0,7457,0,0,0,0,0,0,0,310909,550032,169674,104400,0,75790,1210805,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NM-500,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,509706,3054036,1024851,80315,37862,316187,5022957,0,false,0,0,0,0,0,0,false,144428,0,0,10885,155313,false,false,0,false,false,0,0,129890,0,86636,0,0,15156,231682
NM-501,2019,false,false,false,false,148831,14883,163714,0,0,0,0,0,0,0,61392,3396960,778491,115304,89404,290445,4731996,0,false,0,0,0,0,0,0,false,175468,0,0,14936,190404,false,false,0,false,false,0,0,15369,0,147589,191284,0,25013,379255
NV-500,2019,false,false,false,false,850254,9900,860154,205740,1016112,600295,97500,0,132062,2051709,579650,6346272,1895324,233727,0,606601,9661574,0,false,273220,26780,0,29612,329612,0,false,184093,0,0,18409,202502,false,false,0,false,false,0,0,183468,0,402240,116814,0,31931,734453
NV-501,2019,false,false,false,false,116977,5845,122822,0,0,0,0,0,0,0,0,1154520,249102,0,0,68892,1472514,0,false,0,0,0,0,0,0,false,30000,0,0,0,30000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NV-502,2019,false,false,false,false,74610,3731,78341,0,42840,1450,0,0,0,44290,25244,323976,65344,0,0,4228,418792,0,false,0,0,0,0,0,0,false,36029,0,0,3600,39629,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-500,2019,false,false,false,false,235402,16478,251880,0,35568,200884,29215,0,12735,278402,1529778,6028416,2118247,459798,48743,713914,10898896,0,false,0,0,0,0,0,0,false,236096,0,0,16526,252622,false,false,0,false,false,0,0,46200,0,125975,264499,0,30567,467241
NY-501,2019,false,false,false,false,93513,6545,100058,0,0,0,0,0,0,0,306159,856392,242678,12064,9590,69268,1496151,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,44016,0,19600,0,0,4033,67649
NY-503,2019,false,false,false,false,76817,5614,82431,0,0,0,0,0,0,0,897568,2637216,771863,340069,0,263993,4910709,0,false,0,0,0,0,0,0,false,102004,0,0,7401,109405,false,false,0,false,false,0,0,0,0,0,295427,0,18672,314099
NY-504,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,83961,41664,107126,12393,4132,15903,265179,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-505,2019,false,false,false,false,167651,16729,184380,0,0,0,0,0,0,0,3845641,1568268,1878305,1074860,4870,661695,9033639,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-507,2019,false,false,false,false,28572,1999,30571,0,0,0,0,0,0,0,732550,1646736,376505,674743,0,206373,3636907,0,false,0,0,0,0,0,0,false,96425,0,0,6196,102621,false,false,0,false,false,0,0,0,0,131323,26693,0,11049,169065
NY-508,2019,false,false,false,false,191141,19114,210255,37440,118644,110502,0,0,3000,269586,1165054,5843964,2529839,844354,0,651980,11035191,0,false,0,0,0,0,0,0,false,179867,0,0,12591,192458,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-510,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,39672,144474,63203,0,20045,267394,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-511,2019,false,false,false,false,170338,9959,180297,0,0,0,0,0,0,0,0,850176,293881,49376,3440,75533,1272406,0,false,0,0,0,0,0,0,false,133620,0,0,13360,146980,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-512,2019,false,false,false,false,15874,1109,16983,0,0,0,0,0,0,0,272615,2119284,676004,76304,0,177773,3321980,0,false,0,0,0,0,0,0,false,86354,0,0,7714,94068,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-513,2019,false,false,false,false,19813,1372,21185,21240,0,0,23757,0,3126,48123,84039,122352,8275,8245,0,13621,236532,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-514,2019,false,false,false,false,19070,1906,20976,0,0,0,0,0,0,0,60632,77784,17216,9275,0,13591,178498,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-516,2019,false,false,false,false,12733,255,12988,0,0,0,0,0,0,0,0,118176,0,0,0,7382,125558,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-518,2019,false,false,false,false,157310,3146,160456,20016,28080,55980,61885,0,2619,168580,361775,1635924,380723,220405,0,160422,2759249,0,false,0,0,0,0,0,0,false,58250,0,0,5500,63750,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-519,2019,false,false,false,false,11279,789,12068,0,0,0,0,0,0,0,306997,0,74671,31745,1350,23988,438751,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-520,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,34905,16536,23952,0,2000,2340,79733,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-522,2019,false,false,false,false,25000,1750,26750,0,0,0,0,0,0,0,0,902940,55396,0,0,43358,1001694,0,false,0,0,0,0,0,0,false,67773,0,0,0,67773,false,false,0,false,false,0,0,84732,0,54915,13821,0,7058,160526
NY-523,2019,false,false,false,false,33123,2205,35328,0,0,0,0,0,0,0,237696,800256,231490,170207,0,92078,1531727,0,false,0,0,0,0,0,0,false,14200,0,0,1400,15600,false,false,0,false,false,0,0,0,0,40608,50356,0,2498,93462
NY-600,2019,false,false,false,false,1213328,84933,1298261,150000,1593180,1664477,228613,7000,252810,3896080,15874343,52647108,20390536,10730188,117424,5922732,105682331,0,false,0,0,0,0,0,0,false,1021772,0,0,73316,1095088,false,false,0,false,false,0,0,86112,0,2685170,1989488,0,330590,5091360
NY-601,2019,false,false,false,false,45120,0,45120,0,0,0,0,0,0,0,237481,654060,61871,93863,0,59600,1106875,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,30941,148175,0,3582,182698
NY-602,2019,false,false,false,false,59887,5922,65809,0,0,0,0,0,0,0,632347,1186524,396436,225046,0,126289,2566642,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-603,2019,false,false,false,false,243784,15905,259689,0,0,0,0,0,0,0,1899473,5248536,2949456,1031184,10100,686804,11825553,0,false,0,0,0,0,0,0,false,591817,0,0,39573,631390,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-604,2019,false,false,false,false,260000,0,260000,33624,309360,192332,19611,0,39094,594021,3542367,9863184,2163523,303658,0,1033829,16906561,0,false,0,0,0,0,0,0,false,439246,0,0,19626,458872,false,false,0,false,false,0,0,149200,0,166258,92874,0,28584,436916
NY-606,2019,false,false,false,false,69543,0,69543,0,0,0,0,0,0,0,64236,470568,110549,41420,2257,33763,722793,0,false,0,0,0,0,0,0,false,60000,0,0,0,60000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-607,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,272928,0,0,0,8152,281080,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
NY-608,2019,false,false,false,false,67000,3350,70350,0,0,0,0,0,0,0,247786,627420,71320,10157,0,67923,1024606,0,false,0,0,0,0,0,0,false,14019,0,0,981,15000,false,false,0,false,false,0,0,0,0,67220,20082,0,4365,91667
OH-500,2019,false,false,false,false,363188,25423,388611,380964,1492452,1155203,268662,11000,253268,3561549,246017,10939308,2357656,1271555,0,937926,15752462,0,false,0,0,0,0,0,0,false,760341,0,0,53225,813566,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OH-501,2019,false,false,false,false,148599,0,148599,0,0,0,0,0,0,0,65040,1752204,1529981,317155,38798,218618,3921796,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OH-502,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,45881,20138412,5357147,78475,91433,1087397,26798745,48672,false,141476,248057,3600,22365,464170,0,false,475000,0,0,25000,500000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OH-503,2019,false,false,false,false,164070,0,164070,0,0,0,0,0,0,0,2799954,5239380,3558495,491375,35000,639395,12763599,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,161213,0,0,66370,0,4552,232135
OH-504,2019,false,false,false,false,75000,0,75000,0,0,0,0,0,0,0,540788,414852,367127,336700,0,98187,1757654,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OH-505,2019,false,false,false,false,131332,9193,140525,0,0,0,0,0,0,0,891834,4376820,2157987,896948,5000,542132,8870721,0,false,0,0,0,0,0,0,false,124829,0,0,9395,134224,false,false,0,false,false,0,0,100375,0,338911,408610,0,59352,907248
OH-506,2019,false,false,false,false,243405,17037,260442,0,0,0,0,0,0,0,362556,1358232,1037340,673581,19859,257854,3709422,40000,false,0,118722,0,10745,169467,0,false,77865,0,0,7787,85652,false,false,0,false,false,0,0,57288,0,262951,107957,0,29947,458143
OH-507,2019,false,false,false,false,435836,23004,458840,0,0,0,0,0,0,0,1145965,11045004,2065455,990305,1650,1236210,16484589,0,false,144249,128892,0,19120,292261,0,false,174798,0,0,12950,187748,false,false,0,false,false,0,0,233169,704028,754320,431072,0,163115,2285704
OH-508,2019,false,false,false,false,100417,7029,107446,0,0,0,0,0,0,0,411158,1276788,406616,437812,0,162347,2694721,0,false,0,0,0,0,0,0,false,70000,0,0,4900,74900,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-500,2019,false,false,false,false,42765,2000,44765,0,0,0,0,0,0,0,44393,56160,58561,25929,8695,5965,199703,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,2927,0,0,2927
OK-501,2019,false,false,false,false,117300,5813,123113,0,0,0,0,0,0,0,372029,165060,575903,977999,37954,100559,2229504,0,false,0,207892,4430,10446,222768,0,false,58578,0,0,5790,64368,false,false,0,false,false,0,0,0,0,0,82118,2126,4212,88456
OK-502,2019,false,false,false,false,100000,10000,110000,0,0,0,0,0,0,0,872721,984492,778523,694366,1069,227328,3558499,0,false,0,0,0,0,0,0,false,19795,0,0,1605,21400,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-503,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,294372,159324,81460,24028,27825,587009,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-504,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,78750,228204,82451,12282,1032,16861,419580,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-505,2019,false,false,false,false,25437,1780,27217,0,0,0,0,0,0,0,0,0,73469,239154,0,19170,331793,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-506,2019,false,false,false,false,61112,2100,63212,0,0,0,0,0,0,0,0,56196,0,0,0,1446,57642,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OK-507,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,81116,0,32641,0,900,5298,119955,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OR-500,2019,false,false,false,false,132316,3679,135995,0,0,0,0,0,0,0,510735,1149684,708085,79561,0,159136,2607201,66660,false,352366,68592,8400,41940,537958,0,false,0,0,0,0,0,false,false,0,false,false,0,0,65124,0,146514,0,0,14814,226452
OR-501,2019,false,false,false,false,229595,16071,245666,0,0,0,0,0,0,0,878123,17209236,3281355,318614,0,1288159,22975487,0,false,0,0,0,0,0,0,false,121620,0,0,3053,124673,false,false,0,false,false,0,0,0,0,57100,195638,0,17690,270428
OR-502,2019,false,false,false,false,8000,0,8000,0,8112,37622,50,0,4540,50324,84563,0,24138,21189,0,3721,133611,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,63768,41311,2054,0,10485,117618
OR-503,2019,false,false,false,false,50000,3000,53000,0,0,0,0,0,0,0,0,537960,46572,0,500,9568,594600,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OR-505,2019,false,false,false,false,107208,7488,114696,0,0,0,0,0,0,0,235372,1911456,566313,0,0,152313,2865454,0,false,0,0,0,0,0,0,false,133738,0,0,13338,147076,false,false,0,false,false,0,0,0,0,0,0,0,0,0
OR-506,2019,false,false,false,false,37100,2642,39742,0,0,0,0,0,0,0,0,2858988,276155,0,0,158806,3293949,0,false,219159,58810,0,19457,297426,0,false,0,0,0,0,0,false,false,0,false,false,0,0,62857,0,50020,900,0,7964,121741
OR-507,2019,false,false,false,false,66372,4490,70862,25272,81504,30000,0,0,13000,149776,0,1497312,534026,0,0,124630,2155968,0,false,0,0,0,0,0,0,false,88107,0,0,8733,96840,false,false,0,false,false,0,0,0,128628,23669,0,0,5541,157838
PA-500,2019,false,false,false,false,439425,21971,461396,0,254304,244655,79809,0,56782,635550,7435303,12315120,5182443,1454451,0,1941135,28328452,119400,false,385363,445827,0,47135,997725,0,false,310012,0,0,31001,341013,false,false,0,false,false,0,0,0,0,1584619,1037992,0,146613,2769224
PA-501,2019,false,false,false,false,48705,0,48705,0,62688,84739,25433,0,8052,180912,302073,556284,299507,16948,0,58088,1232900,123636,false,122238,50584,0,20752,317210,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-502,2019,false,false,false,false,190200,9800,200000,0,105960,141748,33780,0,12000,293488,334388,2296356,1024630,33932,0,162339,3851645,0,false,0,0,0,0,0,0,false,645650,0,0,26285,671935,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-503,2019,false,false,false,false,152533,15085,167618,0,0,0,0,0,0,0,353778,1194372,789642,86056,0,194425,2618273,0,false,0,0,0,0,0,0,false,412748,0,0,22493,435241,false,false,0,false,false,0,0,0,0,505468,341297,0,61856,908621
PA-504,2019,false,false,false,false,130133,9109,139242,18180,87948,61863,5040,0,15057,188088,778016,1412184,313027,0,0,128563,2631790,0,false,0,0,0,0,0,0,false,161959,0,0,11336,173295,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-505,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,79066,1226796,194518,36021,0,38734,1575135,0,false,0,0,0,0,0,0,false,107530,0,0,5377,112907,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-506,2019,false,false,false,false,80000,5600,85600,0,0,0,0,0,0,0,660478,453996,590459,400732,0,125717,2231382,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,79764,0,260930,134094,0,33615,508403
PA-508,2019,false,false,false,false,55387,4169,59556,0,0,0,0,0,0,0,912467,400080,866021,293859,0,148465,2620892,0,false,101900,37137,0,6994,146031,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-509,2019,false,false,false,false,165546,8463,174009,50496,337752,144128,9450,600,29098,571524,2377473,4716192,2250663,563657,18900,648036,10574921,0,false,0,0,0,0,0,0,false,768155,0,0,32788,800943,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-510,2019,false,false,false,false,162351,11590,173941,112584,54696,66308,43000,0,9208,285796,0,1101252,212336,59102,0,54455,1427145,0,false,0,0,0,0,0,0,false,180833,0,0,9540,190373,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-511,2019,false,false,false,false,98017,5006,103023,0,0,0,0,0,0,0,95790,551244,260579,19529,0,37590,964732,0,false,0,0,0,0,0,0,false,169881,0,0,7975,177856,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-512,2019,false,false,false,false,140108,7374,147482,18000,48912,33597,4924,0,7066,112499,165416,427188,248085,25392,5000,61024,932105,0,false,0,0,0,0,0,0,false,112400,0,0,7600,120000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-600,2019,false,false,false,false,330927,20265,351192,0,0,0,0,0,0,0,2775291,9878004,3742796,1455376,0,1094503,18945970,0,false,0,0,0,0,0,0,false,64263,0,0,4498,68761,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PA-601,2019,false,false,false,false,121354,6744,128098,0,92544,64975,46691,1000,7500,212710,3012174,2629404,1712134,638869,0,601133,8593714,0,false,0,0,0,0,0,0,false,420621,0,0,39428,460049,false,false,0,false,false,0,0,7020,0,96746,115144,0,11990,230900
PA-603,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,286972,533832,135852,6620,0,56061,1019337,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,46000,0,204200,104800,0,32888,387888
PA-605,2019,false,false,false,false,146027,0,146027,0,0,0,0,0,0,0,364315,1290276,259537,17322,0,92288,2023738,0,false,0,0,0,0,0,0,false,12000,0,0,0,12000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
PR-502,2019,false,false,false,false,526896,52690,579586,0,0,0,0,0,0,0,1655887,2098668,2531892,1406121,0,518084,8210652,4452,false,207637,91366,12480,21623,337558,0,false,138140,0,0,13800,151940,false,false,0,false,false,0,0,324060,120624,2098316,905193,21600,232116,3701909
PR-503,2019,false,false,false,false,538402,37688,576090,0,0,0,0,0,0,0,491587,772272,1096844,1009019,26708,257538,3653968,25104,false,42046,84642,0,10262,162054,12000,false,235875,0,0,17291,265166,false,false,0,false,false,0,0,36000,0,250503,151223,0,30616,468342
RI-500,2019,false,false,false,false,142115,9949,152064,0,0,0,0,0,0,0,401529,3759624,1107470,742494,49526,439613,6500256,0,false,0,0,0,0,0,0,false,236293,0,0,20421,256714,false,false,0,false,false,0,0,0,0,0,0,0,0,0
SC-500,2019,false,false,false,false,155722,10898,166620,0,0,0,0,0,0,0,0,1022184,582100,0,0,103181,1707465,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
SC-501,2019,false,false,false,false,152538,10677,163215,0,0,0,0,0,0,0,833449,573672,497137,344771,0,133866,2382895,0,false,0,120366,0,8388,128754,0,false,0,0,0,0,0,false,false,0,false,false,0,0,187086,0,113818,31502,0,18680,351086
