coc_number,year,ard_ard,ard_pprn
DC-500,2017,19774255,10380705
DC-500,2018,21279618,11098072
DC-500,2019,22010757,11156461
DE-500,2015,6665403,3475955
DE-500,2016,7629178,3652968
DE-500,2017,7629179,3734461
DE-500,2018,7723605,3993064
DE-500,2019,8017797,3975272
FL-500,2015,773639,2320545
FL-500,2016,796249,2509361
FL-500,2017,796249,2633518
FL-500,2018,799101,2815694
FL-500,2019,884214,2822511
FL-501,2015,6167246,5567839
FL-501,2016,6055045,6260726
FL-501,2017,6055045,6566372
FL-501,2018,6129972,7020147
FL-501,2019,6136796,7418253
FL-502,2015,3865749,2991505
FL-502,2016,3920283,3192292
FL-502,2017,3920282,3387479
FL-502,2018,3957412,3621835
FL-502,2019,4010705,3423641
FL-503,2015,1587976,2258430
FL-503,2016,1522617,2464634
FL-503,2017,1647715,2527864
FL-503,2018,1787775,2702810
FL-503,2019,1893571,2824428
FL-504,2015,1031012,1604151
FL-504,2016,1169059,1729981
FL-504,2017,1255558,1812443
FL-504,2018,1305347,1940936
FL-504,2019,1362212,1962307
FL-505,2015,621146,410777
FL-505,2016,557463,446544
FL-505,2017,557463,468363
FL-505,2018,605695,511937
FL-505,2019,658416,519763
FL-506,2015,1356348,1823393
FL-506,2016,1286972,1968232
FL-506,2017,1282124,2068067
FL-506,2018,1291383,2199915
FL-506,2019,1385763,2143301
FL-507,2015,7198175,6491886
FL-507,2016,7228991,7112259
FL-507,2017,7316769,7473072
FL-507,2018,7326489,7990065
FL-507,2019,7829344,8506448
FL-508,2015,665244,961947
FL-508,2016,595389,1023682
FL-508,2017,645800,1093804
FL-508,2018,662578,1159919
FL-508,2019,670363,1161583
FL-509,2015,1448921,907943
FL-509,2016,1555733,992581
FL-509,2017,1530912,1056089
FL-509,2018,1629149,1125078
FL-509,2019,1661189,1166966
FL-510,2015,4526804,4160406
FL-510,2016,4544865,4447951
FL-510,2017,4311530,4700514
FL-510,2018,4332319,5031420
FL-510,2019,4508181,5174318
FL-511,2015,929354,1507850
FL-511,2016,791585,1606730
FL-511,2017,736174,1660409
FL-511,2018,707257,1768906
FL-511,2019,762337,1637792
FL-512,2015,152400,333960
FL-512,2016,129540,356715
FL-512,2017,123326,220984
FL-512,2018,121598,236441
FL-512,2019,126214,246433
FL-513,2015,817332,660742
FL-513,2016,694732,730978
FL-513,2017,616732,763338
FL-513,2018,666117,816730
FL-513,2019,717886,849794
FL-514,2015,241997,1295399
FL-514,2016,205373,1400928
FL-514,2017,190997,1476772
FL-514,2018,245601,1578928
FL-514,2019,244761,1501547
FL-515,2015,41402,642993
FL-515,2016,35192,659990
FL-515,2017,32729,726110
FL-515,2018,30765,763843
FL-515,2019,30765,774341
FL-517,2015,197395,699588
FL-517,2016,169211,728567
FL-517,2017,157366,768404
FL-517,2018,158206,804440
FL-517,2019,160123,812176
FL-518,2015,275203,335226
FL-518,2016,346948,348852
FL-518,2017,346948,359466
FL-518,2018,339388,396573
FL-518,2019,349022,401109
FL-519,2015,758924,1766436
FL-519,2016,837163,1837332
FL-519,2017,831509,1903620
FL-519,2018,839421,2035171
FL-519,2019,850289,2129232
FL-520,2015,370361,879947
FL-520,2016,370361,998803
FL-520,2017,420301,1077910
FL-520,2018,370361,1141480
FL-520,2019,394161,1182211
FL-600,2015,32115472,13138468
FL-600,2016,29027696,14262228
FL-600,2017,29027696,14946113
FL-600,2018,29811201,15979550
FL-600,2019,30586660,16583716
FL-601,2015,10132430,4520464
FL-601,2016,10072946,4835895
FL-601,2017,10438621,5069466
FL-601,2018,9505090,5421670
FL-601,2019,10970949,5610421
FL-602,2015,215289,216903
FL-602,2016,182132,235623
FL-602,2017,182132,250871
FL-602,2018,199572,274728
FL-602,2019,250568,294012
FL-603,2015,2061821,2058516
FL-603,2016,1762276,2247531
FL-603,2017,1661056,2408142
FL-603,2018,1667288,2574926
FL-603,2019,1760581,2656082
FL-604,2015,528063,291885
FL-604,2016,448853,320938
FL-604,2017,471296,390328
FL-604,2018,479542,427553
FL-604,2019,477526,459160
FL-605,2015,5391742,4605398
FL-605,2016,4696369,4916179
FL-605,2017,4799395,5125273
FL-605,2018,5478835,5480115
FL-605,2019,5630604,5589236
FL-606,2015,297296,1403066
FL-606,2016,299792,1526200
FL-606,2017,358987,1576296
FL-606,2018,286151,1640161
FL-606,2019,270734,1730437
GA-500,2015,6874945,4618585
GA-500,2016,6713479,4871670
GA-500,2017,6777940,5050807
GA-500,2018,7041634,5399847
GA-500,2019,7321928,5265723
GA-501,2015,15602960,15655848
GA-501,2016,16041150,17640525
GA-501,2017,16929821,18464558
GA-501,2018,17414117,19752620
GA-501,2019,18649714,19954163
GA-502,2015,2773381,1439316
GA-502,2016,2712718,1699470
GA-502,2017,2522828,1792172
GA-502,2018,2495096,1916258
GA-502,2019,2422514,1697090
GA-503,2015,689244,316042
GA-503,2016,696892,322555
GA-503,2017,663759,340559
GA-503,2018,709605,364380
GA-503,2019,740693,361361
GA-504,2015,709617,1146459
GA-504,2016,604090,1224931
GA-504,2017,604090,1262648
GA-504,2018,607258,1349904
GA-504,2019,615226,1299407
GA-505,2015,1274573,1016818
GA-505,2016,1295712,1071333
GA-505,2017,1360498,1126406
GA-505,2018,1360522,1070068
GA-505,2019,1483591,1259359
GA-506,2015,2057749,2267992
GA-506,2016,2132318,2412880
GA-506,2017,2079724,2576314
GA-506,2018,2123692,2754533
GA-506,2019,2218833,2702040
GA-507,2015,4007707,1582329
GA-507,2016,3507581,1692793
GA-507,2017,3284537,1733935
GA-507,2018,3168106,1851688
GA-507,2019,3357485,1869819
GA-508,2015,3821213,3113356
GA-508,2016,4537067,3439009
GA-508,2017,4645806,3570808
GA-508,2018,4866729,3817572
GA-508,2019,4998875,3847197
GU-500,2015,1346148,1236101
GU-500,2016,1082174,1319776
GU-500,2017,1082174,1369204
GU-500,2018,1054700,1467492
GU-500,2019,1095910,1492579
HI-500,2015,1932112,1237030
HI-500,2016,2004278,1302640
HI-500,2017,2157800,1341880
HI-500,2018,2344347,1435735
HI-500,2019,2542866,1420407
HI-501,2015,9886729,5110994
HI-501,2016,9099981,5281046
HI-501,2017,9099981,5489286
HI-501,2018,9080553,5868627
HI-501,2019,9210982,5888780
IA-500,2015,871142,1139877
IA-500,2016,715112,1204301
IA-500,2017,712980,1276795
IA-500,2018,722532,1361977
IA-500,2019,741468,1367847
IA-501,2015,4762896,6931246
IA-501,2016,4376990,7270560
IA-501,2017,4537320,7482344
IA-501,2018,4745983,8010048
IA-501,2019,4804085,8123933
IA-502,2015,2935891,2672222
IA-502,2016,3120718,2894381
IA-502,2017,3335661,3018788
IA-502,2018,3315621,3221326
IA-502,2019,3438512,3243401
ID-500,2015,953216,530996
ID-500,2016,904489,584449
ID-500,2017,874443,627561
ID-500,2018,889887,661332
ID-500,2019,1046625,649680
ID-501,2015,3081462,2299335
ID-501,2016,2689798,2442840
ID-501,2017,2687178,2550776
ID-501,2018,2720641,2739309
ID-501,2019,3116383,2746903
IL-500,2015,909988,332622
IL-500,2016,903633,356682
IL-500,2017,948815,351169
IL-500,2018,927850,375732
IL-500,2019,920259,379015
IL-501,2015,1606011,1770581
IL-501,2016,1415764,1837412
IL-501,2017,1473861,1890210
IL-501,2018,1453200,2047648
IL-501,2019,2046239,1960049
IL-502,2015,2289184,1911895
IL-502,2016,2037513,2023591
IL-502,2017,2076630,2077963
IL-502,2018,2002113,2221795
IL-502,2019,2254639,2240170
IL-503,2015,843875,456502
IL-503,2016,731744,478708
IL-503,2017,688451,486899
IL-503,2018,692843,515834
IL-503,2019,703314,563363
IL-504,2015,2057290,1154915
IL-504,2016,1770523,1284524
IL-504,2017,1838647,1342063
IL-504,2018,1814852,1435152
IL-504,2019,1786998,1427742
IL-506,2015,3432952,1572851
IL-506,2016,3416291,1681079
IL-506,2017,3649789,1784835
IL-506,2018,3966130,1948115
IL-506,2019,4029727,1918715
IL-507,2015,1653476,1588504
IL-507,2016,1736750,1693111
IL-507,2017,1736750,1742656
IL-507,2018,1738227,1847999
IL-507,2019,1746846,1864140
IL-508,2015,3169354,1947622
IL-508,2016,3096889,2064648
IL-508,2017,3096862,2121335
IL-508,2018,3147676,2268074
IL-508,2019,3281137,2278439
IL-509,2015,615714,231875
IL-509,2016,611360,240748
IL-509,2017,568565,273917
IL-509,2018,580973,266009
IL-510,2015,60458806,49012705
IL-510,2016,62448146,52532834
IL-510,2017,63727938,54412238
IL-510,2018,67054040,58172441
IL-510,2019,70798663,57826275
IL-511,2015,11564751,9738053
IL-511,2016,11197915,11048780
IL-511,2017,11434751,11636046
IL-511,2018,11731407,12441144
IL-511,2019,12734656,12557377
IL-512,2015,1237608,1306414
IL-512,2016,1054696,1397828
IL-512,2017,950601,1440576
IL-512,2018,965449,1533018
IL-512,2019,963079,1526543
IL-513,2015,507123,399925
IL-513,2016,445540,419830
IL-513,2017,438717,443476
IL-513,2018,415203,485293
IL-513,2019,401503,526114
IL-514,2015,4109258,2308455
IL-514,2016,4283400,2538457
IL-514,2017,4283400,2611196
IL-514,2018,4526372,2791829
IL-514,2019,4744678,2852120
IL-515,2015,1024988,975948
IL-515,2016,875114,1009161
IL-515,2017,871813,1020920
IL-515,2018,882109,1095050
IL-515,2019,1014736,1101242
IL-516,2015,900738,350861
IL-516,2016,767758,380484
IL-516,2017,767758,405825
IL-516,2018,767758,429810
IL-516,2019,846639,426163
IL-517,2015,1512966,830067
IL-517,2016,1575624,905508
IL-517,2017,1575564,936658
IL-517,2018,1718394,1002174
IL-517,2019,1769946,1804684
IL-518,2015,974443,1855022
IL-518,2016,1004691,1964308
IL-518,2017,943042,2051790
IL-518,2018,901530,2193659
IL-518,2019,740232,2186987
IL-519,2015,631767,582494
IL-519,2016,631767,614466
IL-519,2017,631767,632367
IL-519,2018,641558,666390
IL-519,2019,646796,667158
IL-520,2015,1034925,1459523
IL-520,2016,874423,1536401
IL-520,2017,859231,1576544
IL-520,2018,810521,1679716
IL-520,2019,986766,1658911
IN-500,2015,1652598,1850543
IN-500,2016,1435007,1964137
IN-502,2015,11477369,16878850
IN-502,2016,10880755,17852450
IN-502,2017,13033445,20516062
IN-502,2018,13545128,21932384
IN-502,2019,16894778,21618326
IN-503,2015,4925972,5796989
IN-503,2016,4765814,6115763
IN-503,2017,4859253,6360352
IN-503,2018,5064847,6810441
IN-503,2019,5370871,6966772
KS-501,2015,1541494,1403885
KS-502,2015,2407083,1982088
KS-502,2016,2479662,2098029
KS-502,2017,2479662,2222639
KS-502,2018,2501271,2373156
KS-502,2019,2639432,2275662
KS-503,2015,1808086,1166076
KS-503,2016,1813668,1269091
KS-503,2017,1726468,1326875
KS-503,2018,1883942,1414813
KS-503,2019,1814908,1416615
KS-505,2015,587357,529230
KS-505,2016,657737,579129
KS-505,2017,657665,598547
KS-505,2018,684593,640412
KS-505,2019,663035,627390
