coc_number,year,ard_ard,ard_pprn
UT-503,2016,1797314,1998649
UT-503,2017,1759468,2087639
UT-503,2018,1792391,2237442
UT-503,2019,1822265,2286881
UT-504,2015,1108601,1476465
UT-504,2016,890014,1551552
UT-504,2017,1009783,1576416
UT-504,2018,1059020,1682150
UT-504,2019,1147953,1602168
VA-500,2015,4397668,4310858
VA-500,2016,4336834,4621817
VA-500,2017,4386836,4719494
VA-500,2018,4495669,5048643
VA-500,2019,4602701,5043590
VA-501,2015,4008974,3055732
VA-501,2016,3789988,3286679
VA-501,2017,3789988,3425984
VA-501,2018,3770092,3653877
VA-501,2019,3756604,3706633
VA-502,2015,806865,1257616
VA-502,2016,814732,1350014
VA-502,2017,794691,1392879
VA-502,2018,796377,1507832
VA-502,2019,845410,1546521
VA-503,2015,1481073,1185108
VA-503,2016,1557769,1260315
VA-503,2017,1548219,1339353
VA-503,2018,1642276,1431910
VA-503,2019,1808963,1466347
VA-504,2015,327108,321446
VA-504,2016,363888,326047
VA-504,2017,359102,344052
VA-504,2018,356702,365622
VA-504,2019,369350,372113
VA-505,2015,1915780,1183431
VA-505,2016,1958462,1288446
VA-505,2017,1958462,1343028
VA-505,2018,1955738,1443050
VA-505,2019,1955738,1412011
VA-507,2015,1284400,953485
VA-507,2016,1169791,1005888
VA-507,2017,1169791,1052498
VA-507,2018,1168615,1125232
VA-507,2019,1165879,1141131
VA-508,2015,383287,400477
VA-508,2016,327387,425120
VA-508,2017,348313,425492
VA-508,2018,357393,451544
VA-508,2019,358375,444461
VA-513,2015,402114,591570
VA-513,2016,596664,635505
VA-513,2017,342288,651944
VA-513,2018,362880,687290
VA-513,2019,350712,705381
VA-514,2015,238072,328436
VA-514,2016,263229,350056
VA-514,2017,263229,375779
VA-514,2018,298606,399000
VA-514,2019,308411,403618
VA-521,2015,599175,3175685
VA-521,2016,712754,3318350
VA-521,2017,792394,3435443
VA-521,2018,814436,3676592
VA-521,2019,941983,3610006
VA-600,2015,1920096,757067
VA-600,2016,2406677,821757
VA-600,2017,2466844,879161
VA-600,2018,2611996,939916
VA-600,2019,2754238,999134
VA-601,2015,7655650,3256299
VA-601,2016,8291071,3532690
VA-601,2017,8291041,3709253
VA-601,2018,8744225,3965584
VA-601,2019,8996856,4085381
VA-602,2015,155000,271753
VA-602,2016,167720,289036
VA-602,2017,167480,306775
VA-602,2018,177752,328233
VA-602,2019,181940,357808
VA-603,2015,744711,179942
VA-603,2016,784657,198224
VA-603,2017,784657,222653
VA-603,2018,826462,238226
VA-603,2019,843038,252569
VA-604,2015,593264,1406893
VA-604,2016,527157,1539537
VA-604,2017,527157,1624166
VA-604,2018,552650,1736405
VA-604,2019,669422,1835613
VI-500,2015,133218,807252
VI-500,2016,115754,853915
VI-500,2017,107651,885895
VI-500,2018,108794,939482
VI-500,2019,164698,956668
VT-500,2015,2727529,1378892
VT-500,2016,3178168,1459780
VT-500,2017,3239692,1512583
VT-500,2018,3364072,1624107
VT-500,2019,3568157,1579906
VT-501,2015,986961,409702
VT-501,2016,1007110,426977
VT-501,2017,1112962,438680
VT-501,2018,1140058,463652
VT-501,2019,1090140,476958
WA-500,2015,31015412,9688597
WA-500,2016,33453479,10227460
WA-500,2017,33724189,10510019
WA-500,2018,34110453,11237333
WA-500,2019,42997915,10732252
WA-501,2015,5860855,3957813
WA-501,2016,6049089,4186034
WA-501,2017,6208453,4410677
WA-501,2018,6904013,5446773
WA-501,2019,7841945,5528856
WA-502,2015,3483114,2365483
WA-502,2016,3718054,2534640
WA-502,2017,3671717,2635939
WA-502,2018,3675649,2818422
WA-502,2019,3668195,2388516
WA-503,2015,3169218,3335888
WA-503,2016,3349070,3558716
WA-503,2017,3196787,3797096
WA-503,2018,3222870,4059606
WA-503,2019,3342656,4133228
WA-504,2015,6285150,1956952
WA-504,2016,7638851,2225046
WA-504,2017,7638851,2370053
WA-504,2018,7823734,2534101
WA-504,2019,9477702,2579547
WA-507,2015,617986,594467
WA-507,2016,576063,641918
WA-507,2017,586667,680018
WA-508,2015,1220717,641167
WA-508,2016,1566909,689879
WA-508,2017,1691381,719506
WA-508,2018,1931121,769834
WA-508,2019,1899661,750977
WI-500,2015,7557643,8370362
WI-500,2016,8521973,8852861
WI-500,2017,8521969,9189030
WI-500,2018,8739231,9831514
WI-500,2019,10070318,9722765
WI-501,2015,10555244,10950397
WI-501,2016,10080579,11652511
WI-501,2017,10104368,11932798
WI-501,2018,10281986,12758231
WI-501,2019,10258562,12634378
WI-502,2015,1154679,1311509
WI-502,2016,896491,1433406
WI-502,2017,831676,1507947
WI-502,2018,890498,1612577
WI-502,2019,929486,1580407
WI-503,2015,3151537,1404850
WI-503,2016,3150439,1474976
WI-503,2017,3064653,1556221
WI-503,2018,3129707,1663997
WI-503,2019,3569545,1681480
WV-500,2015,429967,596908
WV-500,2016,394225,631896
WV-500,2017,394225,640611
WV-500,2018,403829,679038
WV-500,2019,403829,664237
WV-501,2015,1864873,1208211
WV-501,2016,2071800,1273741
WV-501,2017,2250761,1352110
WV-501,2018,2366017,1440735
WV-501,2019,2581428,1464255
WV-503,2015,1336202,1280124
WV-503,2016,1183794,1338363
WV-503,2017,1183759,1391676
WV-503,2018,1135690,1490038
WV-503,2019,1291741,1510855
WV-508,2015,3610109,2914479
WV-508,2016,3905253,3068972
WV-508,2017,3901673,3128978
WV-508,2018,4210305,3357283
WV-508,2019,4249601,3344641
WY-500,2015,316902,842440
WY-500,2016,273566,923637
WY-500,2017,263902,952375
WY-500,2018,264399,1018988
WY-500,2019,258220,1023161
