coc_number,coc_name,year
MN-506,Northwest Minnesota,2017
MN-500,Minneapolis/Hennepin County,2017
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",2017
MN-501,St. Paul/Ramsey County,2017
MN-511,Southwest Minnesota,2017
MS-501,Mississippi Balance of State,2017
MS-503,Gulf Port/Gulf Coast Regional,2017
MS-500,"Jackson/Rankin, Madison Counties",2017
MO-606,Missouri Balance of State,2017
MO-501,St. Louis,2017
MO-500,St. Louis County,2017
MO-600,"Springfield/Greene, Christian, Webster Counties",2017
MO-602,"Joplin/Jasper, Newton Counties",2017
MO-503,"St. Charles City & County, Lincoln, Warren Counties",2017
MO-603,"St. Joseph/Andrew, Buchanan, Dekalb Counties",2017
MT-500,Montana Statewide,2017
NE-500,Nebraska Balance of State,2017
NC-511,Fayetteville/Cumberland County,2017
NC-503,North Carolina Balance of State,2017
NC-502,Durham City & County,2017
NC-509,Gaston/Lincoln/Cleveland,2017
NC-504,"Greensboro, High Point",2017
NC-507,Raleigh/Wake County,2017
NC-516,Northwest North Carolina,2017
NC-505,Charlotte/Mecklenburg County,2017
NC-501,Asheville/Buncombe County,2017
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties",2017
NC-513,Chapel Hill/Orange County,2017
NC-500,Winston-Salem/Forsyth County,2017
NE-501,"Omaha, Council Bluffs",2017
NE-502,Lincoln,2017
NH-500,New Hampshire Balance of State,2017
NH-501,Manchester,2017
NH-502,Nashua/Hillsborough County,2017
NJ-500,Atlantic City & County,2017
NJ-501,Bergen County,2017
NJ-502,Burlington County,2017
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties",2017
NJ-504,Newark/Essex County,2017
NJ-506,"Jersey City, Bayonne/Hudson County",2017
NJ-507,New Brunswick/Middlesex County,2017
NJ-508,Monmouth County,2017
NJ-509,Morris County,2017
NJ-510,Lakewood Township/Ocean County,2017
NJ-511,Paterson/Passaic County,2017
NJ-512,Salem County,2017
NJ-513,Somerset County,2017
NJ-514,Trenton/Mercer County,2017
NJ-515,Elizabeth/Union County,2017
NJ-516,"Warren, Sussex, Hunterdon Counties",2017
NM-500,Albuquerque,2017
NM-501,New Mexico Balance of State,2017
NV-500,Las Vegas/Clark County,2017
