year,state,coc_name,coc_number,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort
2016,VA,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",VA-501,769,13,30,56
2016,VA,"Roanoke City & County, Salem CoC",VA-502,342,18,27,49
2016,VA,Virginia Beach CoC,VA-503,469,22,42,54
2016,VA,Charlottesville CoC,VA-504,85,3,12,18
2016,VA,"Newport News, Hampton/Virginia Peninsula CoC",VA-505,496,18,30,51
2016,VA,Portsmouth CoC,VA-507,325,14,27,27
2016,VA,Lynchburg CoC,VA-508,218,10,19,32
2016,VA,"Harrisburg, Winchester/Western Virginia CoC",VA-513,258,8,16,28
2016,VA,"Fredericksburg/Spotsylvania, Stafford Counties CoC",VA-514,367,32,58,85
2016,VA,Virginia Balance of State CoC,VA-521,1685,92,129,312
2016,VA,Arlington County CoC,VA-600,250,24,29,50
2016,VA,Fairfax County CoC,VA-601,1630,214,324,440
2016,VA,Loudoun County CoC,VA-602,98,3,34,40
2016,VA,Alexandria CoC,VA-603,255,37,67,75
2016,VA,Prince William County CoC,VA-604,680,47,85,113
2016,VI,Virgin Islands CoC,VI-500,51,3,3,4
2016,VT,Vermont Balance of State CoC,VT-500,792,54,78,121
2016,VT,Burlington/Chittenden County CoC,VT-501,74,4,7,15
2016,WA,Seattle/King County CoC,WA-500,4281,223,327,516
2016,WA,Washington Balance of State CoC,WA-501,7303,484,729,1011
2016,WA,Spokane City & County CoC,WA-502,2733,179,317,466
2016,WA,"Tacoma, Lakewood/Pierce County CoC",WA-503,2756,208,287,414
2016,WA,Everett/Snohomish County CoC,WA-504,1721,50,93,177
2016,WA,Yakima City & County CoC,WA-507,911,45,77,113
2016,WA,Vancouver/Clark County CoC,WA-508,826,83,124,174
2016,WI,Wisconsin Balance of State CoC,WI-500,4570,388,613,933
2016,WI,Milwaukee City & County CoC,WI-501,1513,207,310,423
2016,WI,Racine City & County CoC,WI-502,272,18,32,37
2016,WI,Madison/Dane County CoC,WI-503,933,91,139,211
2016,WV,"Wheeling, Weirton Area CoC",WV-500,257,31,42,57
2016,WV,"Huntington/Cabell, Wayne Counties CoC",WV-501,730,110,142,173
2016,WV,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",WV-503,914,154,192,293
2016,WV,West Virginia Balance of State CoC,WV-508,1751,175,255,356
2016,WY,Wyoming Statewide CoC,WY-500,695,93,139,183
2015,AK,Anchorage CoC,AK-500,680,119,150,193
2015,AK,Alaska Balance of State CoC,AK-501,89,7,10,18
2015,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,1100,165,227,307
2015,AL,Mobile City & County/Baldwin County CoC,AL-501,556,64,87,117
2015,AL,Huntsville/North Alabama CoC,AL-503,76,9,10,12
2015,AL,Montgomery City & County CoC,AL-504,251,39,50,63
2015,AL,Gadsden/Northeast Alabama CoC,AL-505,81,5,11,12
2015,AL,Tuscaloosa City & County CoC,AL-506,21,0,2,4
2015,AL,Alabama Balance of State CoC,AL-507,69,0,0,2
2015,AR,Little Rock/Central Arkansas CoC,AR-500,491,44,62,90
2015,AR,Fayetteville/Northwest Arkansas CoC,AR-501,200,25,41,47
2015,AR,Arkansas  Balance of State  CoC,AR-503,195,21,30,37
2015,AR,Southeast Arkansas,AR-505,45,6,7,9
2015,AR,Old Fort Homeless Coalition,AR-508,44,7,12,17
2015,AR,"Boone, Baxter, Marion, Newton Counties CoC",AR-512,24,1,1,1
2015,AZ,Arizona Balance of State CoC,AZ-500,1083,133,178,238
2015,AZ,Tucson/Pima County CoC,AZ-501,2315,312,479,564
2015,AZ,Phoenix/Mesa/Maricopa County Regional CoC,AZ-502,3594,279,461,650
2015,CA,San Jose/Santa Clara City & County CoC,CA-500,1510,160,238,316
2015,CA,San Francisco CoC,CA-501,6930,276,605,976
2015,CA,Oakland/Alameda County CoC,CA-502,1966,180,268,373
2015,CA,Sacramento City & County CoC,CA-503,2280,178,223,277
2015,CA,Santa Rosa/Petaluma/Sonoma County CoC,CA-504,751,90,153,218
2015,CA,Richmond/Contra Costa County CoC,CA-505,1212,100,146,194
2015,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,487,23,38,67
2015,CA,Marin County CoC,CA-507,226,41,62,75
2015,CA,Watsonville/Santa Cruz City & County CoC,CA-508,305,8,25,42
2015,CA,Mendocino County CoC,CA-509,159,26,37,49
2015,CA,Turlock/Modesto/Stanislaus County CoC,CA-510,409,23,35,52
2015,CA,Stockton/San Joaquin County CoC,CA-511,193,12,19,31
2015,CA,Daly/San Mateo County CoC,CA-512,1081,103,146,219
2015,CA,"Visalia, Kings, Tulare Counties CoC",CA-513,305,9,20,49
2015,CA,Fresno/Madera County CoC,CA-514,801,42,78,178
2015,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",CA-515,492,76,117,148
2015,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,1,0,0,0
2015,CA,Napa City & County CoC,CA-517,7,1,1,2
2015,CA,Vallejo/Solano County CoC,CA-518,248,30,38,59
2015,CA,Chico/Paradise/Butte County CoC,CA-519,0,0,0,0
2015,CA,Merced City & County CoC,CA-520,11,2,4,5
2015,CA,Davis/Woodland/Yolo County CoC,CA-521,132,6,15,38
2015,CA,Humboldt County CoC,CA-522,268,25,43,60
2015,CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,23,0,0,0
2015,CA,Yuba City & County/Sutter County CoC,CA-524,3,1,1,1
2015,CA,El Dorado County CoC,CA-525,10,0,0,0
2015,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",CA-526,200,2,5,17
2015,CA,Tehama County CoC,CA-527,0,0,0,0
2015,CA,Lake County CoC,CA-529,0,0,0,0
2015,CA,"Inyo, Mono, Alpine Counties CoC",CA-530,10,0,0,0
2015,CA,Los Angeles City & County CoC,CA-600,6273,320,518,851
2015,CA,San Diego City and County CoC,CA-601,4316,561,837,1121
2015,CA,Santa Ana/Anaheim/Orange County CoC,CA-602,1295,41,71,148
2015,CA,Santa Maria/Santa Barbara County CoC,CA-603,471,57,79,106
2015,CA,Bakersfield/Kern County CoC,CA-604,154,12,23,31
2015,CA,Long Beach CoC,CA-606,746,17,33,60
2015,CA,Pasadena CoC,CA-607,293,8,10,24
2015,CA,Riverside City & County CoC,CA-608,1077,111,157,221
2015,CA,San Bernardino City & County CoC,CA-609,223,17,23,42
2015,CA,Oxnard/San Buenaventura/Ventura County CoC,CA-611,434,9,20,41
2015,CA,Glendale CoC,CA-612,172,4,7,10
2015,CA,Imperial County CoC,CA-613,40,4,5,6
2015,CA,San Luis Obispo County CoC,CA-614,80,5,7,12
2015,CA,"Inyo, Mono, Alpine Counties CoC",CA-615,0,0,0,0
2015,CO,Colorado Balance of State CoC,CO-500,537,28,63,82
2015,CO,Metropolitan Denver Homeless Initiative,CO-503,2040,218,342,449
2015,CO,Colorado Springs/El Paso County CoC,CO-504,964,78,138,198
2015,CT,Hartford CoC,CT-502,0,0,0,0
2015,CT,Bridgeport/Norwalk /Stamford/Fairfield County CoC,CT-503,772,92,134,169
2015,CT,Connecticut Balance of State CoC,CT-505,3701,408,633,888
2015,DC,District of Columbia CoC,DC-500,5291,354,592,807
2015,DE,Delaware Statewide CoC,DE-500,1115,141,183,259
2015,FL,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",FL-500,158,24,30,50
2015,FL,Tampa/Hillsborough County CoC,FL-501,796,47,85,139
2015,FL,St. Petersburg/Clearwater/Largo/Pinellas County CoC,FL-502,2864,626,839,1055
2015,FL,Lakeland/Winter Haven/Polk County CoC,FL-503,486,60,83,119
2015,FL,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",FL-504,821,83,116,148
2015,FL,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,226,9,17,25
2015,FL,Tallahassee/Leon County CoC,FL-506,572,33,57,86
2015,FL,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1973,202,285,419
2015,FL,"Gainesville/Alachua, Putnam Counties CoC",FL-508,438,52,84,116
2015,FL,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,573,17,29,48
2015,FL,"Jacksonville-Duval, Clay Counties CoC",FL-510,346,16,27,36
2015,FL,Pensacola/Escambia/Santa Rosa County CoC,FL-511,285,15,20,37
2015,FL,Saint Johns County CoC,FL-512,225,22,36,57
2015,FL,Palm Bay/Melbourne/Brevard County CoC,FL-513,309,16,22,30
2015,FL,Ocala/Marion County CoC,FL-514,554,55,83,102
2015,FL,"Panama City/Bay, Jackson Counties CoC",FL-515,113,6,11,15
2015,FL,"Hendry, Hardee, Highlands Counties CoC",FL-517,84,6,6,6
2015,FL,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",FL-518,307,135,143,150
2015,FL,Pasco County CoC,FL-519,224,4,8,20
2015,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",FL-520,31,0,0,0
2015,FL,Miami/Dade County CoC,FL-600,3808,563,770,890
2015,FL,Ft Lauderdale/Broward County CoC,FL-601,1984,318,449,522
2015,FL,Punta Gorda/Charlotte County CoC,FL-602,383,29,44,51
2015,FL,Ft Myers/Cape Coral/Lee County CoC,FL-603,324,38,50,66
2015,FL,Monroe County CoC,FL-604,376,97,109,131
2015,FL,West Palm Beach/Palm Beach County CoC,FL-605,1676,61,118,233
2015,FL,Naples/Collier County CoC,FL-606,19,1,1,2
2015,GA,Atlanta Continuum of Care,GA-500,4240,528,777,1084
2015,GA,Georgia Balance of State CoC,GA-501,4264,288,430,584
2015,GA,Fulton County Continuum of Care,GA-502,0,0,0,0
2015,GA,Athens/Clarke County CoC,GA-503,491,4,9,9
2015,GA,Augusta CoC,GA-504,532,33,51,86
2015,GA,Columbus-Muscogee/Russell County CoC,GA-505,154,8,11,17
2015,GA,Marietta/Cobb County CoC,GA-506,618,38,77,115
2015,GA,Savannah/Chatham County CoC,GA-507,685,114,154,154
2015,GA,DeKalb County Continuum of Care,GA-508,461,27,46,70
2015,GU,Guam CoC,GU-500,212,14,17,27
2015,HI,Hawaii Balance of State CoC,HI-500,1212,80,157,233
2015,HI,Honolulu CoC,HI-501,2842,214,372,596
2015,IA,"Sioux City/Dakota, Woodbury Counties CoC",IA-500,178,7,14,16
2015,IA,Iowa Balance of State CoC,IA-501,2346,205,330,494
2015,IA,Des Moines/Polk County CoC,IA-502,1458,221,300,402
2015,ID,Boise/Ada County CoC,ID-500,502,24,36,54
2015,ID,Idaho Balance of State,ID-501,1056,71,110,150
2015,IL,McHenry County CoC,IL-500,234,2,2,18
2015,IL,"Rockford/Winnebago, Boone Counties CoC",IL-501,58,2,10,10
2015,IL,Waukegan/North Chicago/Lake County CoC,IL-502,466,66,110,121
2015,IL,Champaign/Urbana/Rantoul/Champaign County CoC,IL-503,309,26,38,51
2015,IL,Madison County CoC,IL-504,61,2,2,5
2015,IL,Joliet/Bolingbrook/Will County CoC,IL-506,523,72,106,145
2015,IL,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",IL-507,210,13,17,19
2015,IL,East Saint Louis/Belleville/Saint Clair County CoC,IL-508,148,7,14,17
2015,IL,Dekalb City & County CoC,IL-509,147,3,12,19
2015,IL,Chicago CoC,IL-510,4591,413,629,932
2015,IL,Cook County CoC,IL-511,817,89,110,137
2015,IL,Bloomington/Central Illinois CoC,IL-512,298,12,16,43
2015,IL,Springfield/Sangamon County CoC,IL-513,367,46,69,84
2015,IL,DuPage County CoC,IL-514,513,64,84,109
2015,IL,South Central Illinois CoC,IL-515,23,2,3,3
2015,IL,Decatur/Macon County CoC,IL-516,55,4,5,5
2015,IL,Aurora/Elgin/Kane County CoC,IL-517,163,55,63,67
2015,IL,Rock Island/Moline/Northwestern Illinois CoC,IL-518,0,0,0,0
2015,IL,West Central Illinois CoC,IL-519,174,6,11,28
2015,IL,Southern Illinois CoC,IL-520,426,6,10,14
2015,IN,South Bend/Mishawaka/St. Joseph County CoC,IN-500,369,37,54,88
2015,IN,Indiana Balance of State CoC,IN-502,3683,358,505,698
2015,IN,Indianapolis CoC,IN-503,1078,88,137,229
2015,KS,Wichita/Sedgwick County CoC,KS-502,826,83,128,165
2015,KS,Topeka/Shawnee County CoC,KS-503,92,13,22,29
2015,KS,Overland Park/Shawnee/Johnson County CoC,KS-505,161,8,8,12
2015,KS,Kansas Balance of State CoC,KS-507,1621,189,279,356
2015,KY,Kentucky Balance of State CoC,KY-500,3272,201,296,411
