year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2018,CA-512,310,282,282,0,0,28,107,199,370,348,338,85,283,87,750,717,565,361,51,131,619,0,0,0,0,4,0,false,0,342,328,328,84,304,38,0,false,false,275,275,275,50,196,79,0,53,4,10,10,0,0,22,0,204,0,0,0
2007,CA-513,278,210,170,213,2082,26,77,201,322,269,63,54,179,143,52,52,0,0,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-513,243,208,167,0,34,34,139,104,358,358,169,34,107,251,24,24,24,0,6,23,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-513,230,195,154,0,36,33,130,100,370,337,241,20,59,311,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-513,234,204,154,0,33,34,130,104,405,405,297,31,97,308,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-513,233,197,147,0,44,21,100,133,298,298,210,32,109,189,40,40,5,5,0,0,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-513,237,167,133,0,35,29,136,101,338,248,171,33,122,216,123,123,50,13,17,60,63,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-513,237,196,156,0,29,20,124,113,298,257,237,29,99,199,180,180,129,26,38,114,66,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-513,235,189,155,0,0,29,119,116,322,266,225,29,100,222,224,224,182,,43,124,100,0,0,0,0,0,0,false,0,15,15,15,5,15,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-513,237,199,165,0,17,25,108,129,322,269,228,25,87,235,229,229,183,,33,124,105,0,0,0,0,0,0,false,0,63,63,63,7,24,39,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-513,237,180,146,0,13,26,129,108,230,177,177,17,66,164,217,217,217,,28,97,120,0,0,0,0,0,0,false,0,180,180,180,30,103,77,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-513,268,206,172,0,13,15,89,179,191,143,143,12,48,143,256,256,153,131,32,97,159,0,0,0,0,0,0,false,0,104,104,104,16,64,40,0,false,false,0,0,0,0,0,0,0,0,0,0,20,0,0,52,0,103,0,0,0
2018,CA-513,255,168,134,0,13,15,139,116,193,145,145,13,55,138,262,262,262,137,32,97,165,0,0,0,0,0,0,false,0,144,144,144,17,67,77,0,false,false,0,0,0,0,0,0,0,0,0,0,20,0,0,74,0,103,0,0,0
2007,CA-514,1105,969,96,50,0,113,252,853,1552,1503,487,192,474,1078,584,584,177,325,81,210,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-514,1048,931,32,50,9,113,270,778,1033,984,317,184,471,562,493,493,443,119,60,257,236,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-514,501,274,26,20,3129,77,258,243,906,859,569,188,491,415,238,238,238,89,48,115,123,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-514,713,531,142,20,3034,95,392,321,868,820,572,194,533,335,367,367,360,179,45,151,216,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-514,982,862,20,20,0,278,691,291,680,631,529,100,337,343,457,457,333,246,87,221,236,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-514,368,258,20,0,0,94,290,58,644,595,573,104,352,290,676,676,377,266,139,419,257,24,24,24,24,20,2,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-514,433,325,20,0,0,87,260,153,515,453,391,102,343,170,752,752,321,235,83,279,473,24,24,24,24,20,2,false,0,30,30,30,3,12,18,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-514,435,324,127,0,0,64,213,210,465,406,358,82,293,172,884,884,511,,98,332,552,24,24,24,24,12,0,false,0,53,53,53,7,25,28,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-514,372,261,55,5,0,61,196,164,460,401,369,78,289,171,1039,1039,553,,106,347,692,24,24,24,24,12,0,false,0,16,16,16,4,12,4,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-514,412,284,77,4,0,66,227,173,241,177,150,44,110,131,1114,1114,534,,122,402,712,24,24,24,24,12,0,false,0,157,157,157,24,96,61,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-514,380,246,77,0,2,65,238,130,156,111,111,30,83,73,1253,1253,613,265,136,485,768,24,24,24,24,12,0,false,0,238,167,167,41,128,110,0,false,false,0,0,0,0,0,0,0,41,12,43,68,0,0,126,0,710,23,0,0
2018,CA-514,425,311,88,0,0,72,225,188,122,59,59,22,74,48,1308,1308,682,832,158,505,803,24,24,24,24,12,0,false,0,526,242,242,126,452,74,0,false,false,0,0,0,0,0,0,0,41,30,55,4,0,0,59,0,696,21,0,0
2008,CA-515,71,47,50,0,26,7,22,49,388,344,0,87,253,135,63,63,57,5,11,25,38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-515,84,50,50,0,23,11,33,51,411,365,0,87,256,155,63,63,57,10,11,25,38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-515,216,159,149,40,20,32,123,93,405,368,99,87,251,154,89,89,72,13,11,25,64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-515,156,104,104,38,18,21,71,85,395,345,158,80,259,136,142,142,126,35,9,31,111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-515,195,138,138,0,5,26,95,100,310,273,140,64,189,121,139,139,129,60,14,43,96,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-515,198,144,140,0,32,26,95,103,310,275,93,67,202,108,179,179,155,86,19,50,129,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-515,226,161,156,0,6,27,93,133,182,157,93,49,154,28,208,208,168,,16,50,158,0,0,0,0,0,0,false,0,22,22,22,3,8,14,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-515,240,175,170,0,15,27,100,128,191,191,134,46,140,51,217,217,148,,20,51,166,0,0,0,0,12,0,false,0,53,22,22,15,45,8,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-515,317,239,222,0,66,29,120,185,213,207,131,41,165,48,251,251,157,,17,46,205,0,0,0,0,12,0,false,0,42,11,11,13,36,6,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-515,355,262,257,0,68,75,132,223,131,76,38,28,89,42,217,217,167,176,16,41,176,0,0,0,0,0,0,false,0,69,35,35,23,67,2,0,false,false,0,0,0,0,0,0,0,0,44,0,6,0,0,0,14,29,6,0,0
2018,CA-515,341,284,280,64,14,22,96,245,254,157,137,46,195,59,192,192,166,134,8,20,172,0,0,0,0,0,0,false,0,196,81,81,62,173,23,0,false,false,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,26,0,0,0
2007,CA-516,96,70,96,0,20,11,48,48,219,205,219,55,124,95,28,28,28,28,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-516,112,112,112,0,100,11,44,68,225,225,225,59,122,103,17,17,17,17,0,0,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-516,138,138,138,0,41,4,46,92,317,317,317,65,150,167,25,25,25,25,0,0,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-516,138,138,138,0,41,4,46,92,307,307,307,65,150,157,44,44,44,34,0,0,44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-516,138,138,138,0,41,4,46,92,312,312,312,58,121,191,44,44,44,44,0,0,44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-516,128,128,128,0,41,4,36,92,372,372,314,66,150,222,34,34,34,34,0,0,34,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-516,128,102,102,0,41,4,36,92,372,372,338,66,150,222,34,34,34,34,0,0,34,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-516,192,166,0,0,34,4,66,126,393,393,80,66,158,235,34,34,34,,0,0,34,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-516,261,235,0,0,65,4,51,210,195,195,57,41,111,84,34,34,34,,0,0,34,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,10,10,10,0,0,10,0,,,,,,,,,,,,
2016,CA-516,324,235,0,0,50,33,147,177,218,218,78,38,129,89,44,44,44,,0,0,44,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-516,321,218,0,0,80,41,209,112,505,505,24,196,318,171,90,90,30,30,0,0,90,0,0,0,0,0,16,false,0,134,134,134,37,134,0,0,false,false,0,0,0,0,0,0,0,0,0,22,16,0,0,0,0,0,0,0,0
2018,CA-516,314,290,8,0,0,29,73,241,207,207,50,19,122,76,61,61,45,25,6,15,46,0,0,0,0,0,9,false,0,188,188,146,43,140,48,0,false,false,0,0,0,0,0,0,0,0,7,22,11,0,0,0,3,0,0,0,0
2007,CA-517,118,103,106,40,102,11,44,74,112,98,92,13,35,77,56,56,56,14,5,10,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-517,118,106,106,28,90,11,44,74,100,74,80,13,35,65,56,56,56,8,5,10,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-517,118,106,106,28,90,11,44,74,100,74,80,17,43,57,56,56,56,8,5,10,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-517,105,93,93,50,105,11,40,65,109,83,77,19,48,61,60,60,60,10,5,10,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-517,99,85,85,50,105,11,42,57,83,54,48,15,47,36,29,28,11,13,0,0,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-517,85,81,81,50,2,10,21,64,55,25,19,17,44,11,32,32,30,14,0,0,32,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-517,105,91,91,55,0,11,42,63,84,84,57,22,65,19,51,51,49,35,1,3,48,0,0,0,0,0,0,false,0,5,5,5,1,2,3,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-517,104,90,90,50,0,11,42,62,70,70,47,23,58,12,52,52,50,,1,3,49,0,0,0,0,0,0,false,0,27,27,27,2,5,22,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-517,103,91,91,50,5,11,41,62,62,62,34,17,50,12,49,49,30,,1,3,46,0,0,0,0,0,0,false,0,23,23,23,7,19,4,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-517,97,85,85,50,17,11,35,62,59,59,35,17,47,12,51,51,32,,2,5,46,0,0,0,0,0,0,false,0,28,28,28,6,20,8,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-517,101,89,89,50,17,11,39,62,68,68,55,16,54,14,47,47,47,38,1,2,45,0,0,0,0,0,0,false,0,50,50,50,13,46,4,0,false,false,0,0,0,0,0,0,0,0,0,2,12,0,0,1,0,0,0,0,0
2018,CA-517,85,73,73,50,12,3,10,75,66,66,55,17,56,10,57,57,57,48,1,3,54,0,0,0,0,0,0,false,0,38,37,37,15,35,3,0,false,false,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0
2007,CA-518,205,169,48,0,0,46,130,75,232,232,94,24,84,148,72,72,60,26,8,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-518,205,169,114,0,0,46,130,75,231,231,92,20,61,170,50,50,38,26,0,0,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-518,198,162,113,0,0,48,134,64,205,205,50,15,46,159,102,102,65,32,8,16,86,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-518,151,117,89,0,49,29,88,63,171,158,43,15,49,122,122,122,66,106,8,16,106,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-518,196,162,97,0,30,42,128,68,186,173,125,16,46,140,93,93,93,93,8,16,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-518,190,157,92,0,18,40,125,65,324,311,241,24,155,165,105,105,52,105,8,16,89,0,0,0,0,0,4,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-518,223,198,121,0,31,23,139,78,306,293,178,21,83,220,131,131,56,81,8,33,98,0,0,0,0,6,3,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-518,228,198,149,0,31,12,144,78,320,307,159,22,142,169,131,131,56,,8,33,98,0,0,0,0,6,9,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-518,142,129,80,0,19,16,130,12,239,226,165,9,89,146,104,104,64,,10,18,86,0,0,0,0,0,4,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-518,238,225,204,50,12,4,125,113,181,168,135,9,88,89,183,183,68,,20,48,135,0,0,0,0,0,4,false,0,94,94,94,64,94,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-518,152,152,136,30,0,4,58,94,214,214,140,27,76,138,217,217,115,140,23,77,140,0,0,0,0,0,0,false,0,102,102,89,40,58,44,0,false,false,0,0,0,0,0,0,0,11,0,50,51,0,0,81,0,69,0,0,0
2018,CA-518,240,240,240,0,0,1,59,181,99,99,60,15,64,35,257,257,155,150,28,82,175,0,0,0,0,0,0,false,0,205,205,205,44,112,93,0,false,false,0,0,0,0,0,0,0,0,0,12,35,0,0,51,0,75,0,0,0
2007,CA-519,222,200,0,0,143,18,41,181,232,232,90,26,95,137,120,120,81,0,40,115,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-519,207,185,120,0,57,9,35,172,255,255,90,29,104,151,136,136,119,16,40,115,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-519,206,188,120,0,57,6,19,187,183,183,90,27,99,84,136,136,127,16,40,115,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-519,206,188,126,0,10,9,25,181,179,179,90,24,90,89,152,152,135,31,41,116,36,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-519,203,181,120,0,0,10,32,171,187,179,90,26,98,89,235,235,201,39,56,163,72,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-519,230,208,120,0,0,9,30,200,187,179,90,26,98,89,231,231,201,39,56,163,68,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-519,208,180,155,10,0,11,34,174,125,117,102,26,90,35,227,227,212,38,50,153,74,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-519,208,180,155,10,0,11,34,174,111,103,89,26,74,37,241,241,241,,44,133,108,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-519,228,200,176,16,6,18,88,136,104,96,85,28,76,28,130,130,130,,29,88,42,0,0,0,0,4,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-519,229,201,178,1,43,22,93,136,116,99,99,35,98,18,291,291,291,,44,171,120,0,0,0,0,0,0,false,0,5,5,5,5,5,0,0,false,false,5,5,5,0,0,5,0,,,,,,,,,,,,
2017,CA-519,231,205,205,39,41,18,95,136,232,223,215,43,164,68,345,345,345,29,48,192,153,0,0,0,0,0,0,false,0,17,5,5,4,12,5,0,false,false,18,18,0,0,0,18,0,0,4,15,12,0,0,5,0,188,0,0,0
2018,CA-519,220,188,163,62,5,25,107,112,189,184,178,51,166,19,368,368,354,51,48,204,164,0,0,0,0,1,4,false,0,35,9,9,9,26,9,0,false,false,53,53,0,10,32,21,0,0,1,15,15,0,0,9,0,197,0,0,0
2007,CA-520,101,36,21,100,3650,10,86,15,141,141,24,3,30,111,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-520,68,36,21,0,50,10,53,15,134,134,30,3,29,105,4,4,4,4,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-520,127,112,96,0,50,3,52,75,136,136,54,3,29,107,108,108,4,4,21,104,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-520,127,112,96,0,50,3,52,75,136,136,54,3,29,107,108,108,4,4,21,104,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-520,115,103,103,0,20,4,28,87,112,112,87,17,27,85,10,10,10,10,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-520,91,81,81,0,2,2,6,85,111,111,36,9,24,87,14,14,14,11,0,0,14,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-520,93,81,81,0,8,2,8,85,109,109,20,9,24,85,21,21,14,18,0,0,21,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-520,100,88,66,20,11,2,8,92,118,118,20,8,22,96,71,71,25,,11,27,44,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-520,104,92,84,0,15,2,8,96,120,120,20,8,22,98,78,78,37,,11,27,51,0,0,0,0,0,0,false,0,63,63,0,21,63,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-520,105,93,93,0,3,6,20,85,120,120,48,8,22,98,130,130,45,,13,44,86,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-520,76,64,64,15,10,2,8,68,72,72,32,8,15,57,130,130,45,32,13,44,86,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
2018,CA-520,110,98,83,15,3,17,41,69,112,112,4,8,24,88,130,130,45,8,12,42,88,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,85,0,0,0
2007,CA-521,111,86,75,10,1,2,45,66,187,187,153,37,119,68,85,85,29,9,3,10,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-521,112,87,75,35,9,8,45,67,182,182,148,31,114,68,139,139,9,27,4,13,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-521,89,55,52,35,18,8,34,55,170,170,130,31,114,56,126,126,9,30,4,13,113,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-521,89,64,52,35,22,8,33,56,168,168,126,31,114,54,130,130,9,35,1,3,127,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-521,87,62,52,35,13,9,36,51,175,175,130,24,101,74,127,127,25,49,6,19,108,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-521,95,67,55,35,2,8,34,58,197,197,183,32,120,77,126,126,44,45,6,19,107,0,0,0,0,3,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-521,100,72,59,33,2,8,34,63,215,215,167,30,125,90,131,131,72,39,12,46,85,0,0,0,0,3,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-521,99,64,64,33,1,9,40,56,207,207,159,30,125,82,82,82,31,,4,14,68,0,0,0,0,3,0,false,0,48,48,48,12,42,6,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-521,100,65,65,90,0,9,40,56,178,178,145,28,92,86,89,89,57,,5,14,75,0,0,0,0,4,0,false,0,7,7,7,2,7,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-521,186,151,56,25,0,42,131,51,169,169,147,24,102,67,72,72,36,,6,16,56,0,0,0,0,4,0,false,0,1,1,1,1,1,0,0,false,false,35,35,0,0,0,35,0,,,,,,,,,,,,
2017,CA-521,184,149,54,25,13,33,128,52,52,52,10,6,21,31,101,101,35,35,6,18,83,0,0,0,0,4,0,false,0,77,77,3,26,76,1,0,false,false,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,15,0,0,0
2018,CA-521,157,122,95,32,15,38,99,58,87,66,33,12,42,45,132,132,122,51,17,38,94,0,0,0,0,0,0,false,0,75,75,73,25,72,3,0,false,false,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0
2007,CA-522,112,89,9,55,44,10,23,89,167,167,149,35,105,62,33,33,15,22,4,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-522,108,89,7,55,44,10,23,85,170,170,149,43,139,31,34,34,17,20,4,8,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-522,173,163,99,55,77,9,23,150,157,157,151,37,113,44,38,38,21,24,4,8,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-522,166,156,92,32,77,12,32,134,157,157,151,37,113,44,45,45,22,35,3,10,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-522,238,224,136,0,78,54,116,122,161,161,161,46,129,32,41,41,36,41,3,9,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-522,234,213,145,55,45,38,87,142,160,160,160,33,93,55,33,33,33,33,2,9,24,0,0,0,0,5,12,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-522,35,35,35,55,0,0,0,30,163,163,152,34,104,52,102,102,102,84,8,29,73,0,0,0,0,5,7,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-522,44,44,44,55,0,0,0,39,182,182,171,41,123,52,85,85,85,,8,21,64,0,0,0,0,5,7,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-522,36,36,36,55,0,0,0,31,184,184,173,41,121,51,89,89,89,,8,21,68,0,0,0,0,5,12,false,0,33,33,33,33,33,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-522,97,97,97,48,0,9,25,67,146,146,146,26,93,41,108,108,108,,6,16,92,0,0,0,0,5,12,false,0,7,7,7,7,7,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-522,293,293,145,18,0,11,84,204,105,105,105,14,52,41,55,55,55,55,2,10,45,0,0,0,0,5,12,false,0,59,59,59,25,25,34,0,false,false,0,0,0,0,0,0,0,15,5,36,17,0,0,16,0,0,0,0,0
2018,CA-522,251,251,106,18,0,11,82,164,107,107,97,7,44,51,56,56,56,56,2,10,46,0,0,0,0,5,12,false,0,49,49,49,12,29,20,0,false,false,0,0,0,0,0,0,0,15,5,36,27,0,0,0,0,0,0,0,0
2007,CA-523,28,6,0,28,32,6,22,6,10,10,10,1,6,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-523,8,8,0,0,0,1,4,4,60,40,40,8,34,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-523,15,9,6,28,0,2,12,3,82,67,52,14,59,23,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-523,15,9,0,28,0,2,12,3,82,67,52,14,59,23,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-523,155,24,18,28,0,19,88,67,161,161,135,20,92,69,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-523,72,15,3,28,8,14,69,3,142,142,79,25,114,28,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-523,150,89,12,95,8,30,116,34,134,120,78,20,95,39,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-523,37,29,8,45,0,7,35,2,116,90,48,14,77,39,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
